idx,matchtype,partid,ppartid
0,0,n13,0
1,0,n14,3
2,0,n2,2
3,0,n6,5
4,0,n7,4
5,1,n3,undefined
6,0,n4,1
7,0,n8,6
8,0,n16,7
9,0,n31,12
10,0,n17,11
11,0,n10,9
12,0,n11,10
13,0,n12,8
14,0,n33,17
15,0,n32,16
16,0,n20,15
17,0,n21,14
18,0,n22,13
19,0,n35,23
20,0,n28,22
21,0,n29,24
22,0,n34,20
23,0,n25,19
24,0,n49,27
25,1,n26,undefined
26,0,n30,25
27,0,n27,18
28,0,n50,31
29,0,n38,30
30,0,n42,32
31,0,n39,29
32,0,n43,33
33,0,n40,28
34,0,n44,34
35,0,n52,35
36,0,n67,40
37,0,n53,39
38,0,n46,37
39,0,n47,38
40,0,n48,36
41,0,n69,45
42,0,n68,44
43,0,n56,43
44,0,n57,42
45,0,n58,41
46,0,n71,52
47,0,n64,53
48,0,n65,51
49,0,n70,49
50,0,n61,48
51,0,n85,54
52,1,n62,undefined
53,0,n66,50
54,0,n63,47
55,0,n86,58
56,0,n74,55
57,0,n78,59
58,0,n75,57
59,0,n79,61
60,0,n76,56
61,0,n80,60
62,0,n88,62
63,0,n82,63
64,0,n83,65
65,0,n91,66
66,0,n84,64
67,0,n100,76
68,0,n99,75
69,0,n92,67
70,0,n97,73
71,0,n93,68
72,0,n98,72
73,0,n94,70
74,0,n95,71
75,0,n96,69
76,0,n107,83
77,0,n108,82
78,0,n105,81
79,0,n101,77
80,0,n102,78
81,0,n103,79
82,0,n104,80
83,0,n109,84
84,0,n111,87
85,0,n110,85
86,0,n112,86
87,0,n113,88
88,0,n114,89
89,0,n115,90
90,0,n116,91
91,0,n117,92
92,0,n121,95
93,0,n118,93
94,0,n119,94
95,0,n130,105
96,0,n129,104
97,0,n122,97
98,0,n127,102
99,0,n123,98
100,0,n128,103
101,0,n124,100
102,0,n125,101
103,0,n126,99
104,0,n137,112
105,0,n138,111
106,0,n135,110
107,0,n131,106
