xml_id	midi_id	track	channel	pitch	onset
n13	0	0	0	62	0.507478125
n14	4	0	0	62	0.9949242187499998
n2	1	0	0	63	0.69845015625
n6	5	0	0	63	1.1618578124999999
n3	2	0	0	66	0.7345078125
n7	6	0	0	66	1.1885671875
n4	3	0	0	74	0.7825846874999999
n8	7	0	0	74	1.2206184375
n16	8	0	0	62	1.45432546875
n31	13	0	0	62	1.89235921875
n17	12	0	0	65	1.666665
n10	9	0	0	66	1.5892078125
n11	10	0	0	69	1.64663296875
n12	11	0	0	77	1.66532953125
n33	18	0	0	57	2.5934803124999997
n32	17	0	0	62	2.3664506249999997
n20	14	0	0	63	2.0726475
n21	15	0	0	66	2.1180534375
n22	16	0	0	74	2.1541110937499997
n35	24	0	0	55	3.046204218749999
n28	23	0	0	56	3.028843124999999
n29	25	0	0	59	3.048875156249999
n34	21	0	0	60	2.8245164062499994
n25	19	0	0	61	2.7604139062499993
n49	28	0	0	62	3.3026142187499987
n38	29	0	0	63	3.4668768749999987
n26	deletion
n30	26	0	0	67	3.078255468749999
n27	22	0	0	72	2.8392065624999994
n50	32	0	0	62	3.763350937499999
n42	33	0	0	63	3.924942656249999
n39	30	0	0	66	3.505605468749999
n43	34	0	0	66	3.970348593749999
n40	31	0	0	74	3.541663124999999
n44	35	0	0	74	3.9957224999999985
n52	36	0	0	62	4.217410312499998
n67	41	0	0	62	4.660785937499998
n53	39	0	0	65	4.436427187499998
n46	37	0	0	66	4.366982812499998
n47	38	0	0	69	4.413724218749998
n48	40	0	0	77	4.4444399999999975
n69	46	0	0	57	5.336533124999999
n68	45	0	0	62	5.125529062499998
n56	42	0	0	63	4.825048593749998
n57	43	0	0	66	4.862441718749999
n58	44	0	0	74	4.905176718749998
n71	52	0	0	55	5.766554062499998
n64	51	0	0	56	5.734502812499998
n65	53	0	0	59	5.762547656249998
n70	50	0	0	60	5.558220937499999
n61	47	0	0	61	5.4674090625
n85	55	0	0	62	6.0256349999999985
n74	56	0	0	63	6.200581406249999
n62	deletion
n66	54	0	0	67	5.789257031249998
n63	49	0	0	72	5.5488726562499995
n86	59	0	0	62	6.485036249999999
n78	60	0	0	63	6.641286093749999
n75	57	0	0	66	6.2353035937499985
n79	61	0	0	66	6.665324531249999
n76	58	0	0	74	6.262012968749999
n80	62	0	0	74	6.696040312499998
n88	63	0	0	62	6.9043734374999985
n82	64	0	0	63	7.068636093749999
n83	65	0	0	66	7.091339062499999
n91	68	0	0	69	7.322375156249999
n84	66	0	0	74	7.112706562499999
n100	77	0	0	63	7.907310468749998
n99	76	0	0	65	7.697641874999998
n92	69	0	0	67	7.518689062499998
n97	74	0	0	67	7.658913281249998
n93	70	0	0	69	7.5173535937499985
n98	75	0	0	69	7.661584218749997
n94	72	0	0	73	7.574778749999998
n95	73	0	0	75	7.577449687499998
n96	71	0	0	81	7.569436874999998
n107	84	0	0	38	8.624457187499997
n108	83	0	0	45	8.616444374999997
n105	82	0	0	60	8.385408281249997
n101	81	0	0	62	8.159714062499999
n102	78	0	0	66	8.066231249999998
n103	79	0	0	68	8.133004687499998
n104	80	0	0	75	8.150365781249999
n109	86	0	0	50	8.85015140625
n111	87	0	0	50	9.058484531249999
n110	85	0	0	57	8.83946765625
n112	88	0	0	57	9.061155468749998
n113	89	0	0	62	9.284178749999999
n114	90	0	0	69	9.277501406249998
n115	91	0	0	62	9.488505468749999
n116	92	0	0	69	9.488505468749999
n117	94	0	0	69	9.715535156249997
n121	96	0	0	69	9.942564843749997
n118	93	0	0	74	9.711528749999998
n119	95	0	0	81	9.707522343749998
n130	105	0	0	63	10.555544999999999
n129	104	0	0	65	10.337863593749999
n122	98	0	0	67	10.156239843749999
n127	103	0	0	67	10.26708375
n123	97	0	0	69	10.146891562499999
n128	102	0	0	69	10.26574828125
n124	99	0	0	73	10.209658593750001
n125	100	0	0	75	10.209658593750001
n126	101	0	0	81	10.20164578125
n137	112	0	0	38	11.267349843749999
n138	111	0	0	45	11.255330625
n135	110	0	0	60	11.0042625
n131	109	0	0	62	10.794593906249998
n132	106	0	0	66	10.690427343749999
n133	107	0	0	68	10.757200781249999
n134	108	0	0	75	10.782574687499999
n139	113	0	0	50	11.489037656249998
n141	115	0	0	50	11.713396406249998
n140	114	0	0	57	11.483695781249999
n142	116	0	0	57	11.713396406249998
n143	117	0	0	62	11.92974234375
n144	118	0	0	69	11.923065
n151	125	0	0	38	12.62151515625
n152	124	0	0	45	12.612166875
n145	120	0	0	62	12.154101093749999
n146	119	0	0	69	12.15143015625
n147	122	0	0	69	12.366440625
n148	123	0	0	74	12.37578890625
n149	121	0	0	81	12.357092343749999
n155	129	0	0	38	13.08091640625
n156	128	0	0	45	13.072903593749999
n153	127	0	0	50	12.833854687499999
n157	131	0	0	50	13.31328796875
n154	126	0	0	57	12.8285128125
n158	130	0	0	57	13.30527515625
n159	133	0	0	38	13.5389821875
n170	137	0	0	38	13.9983834375
n160	132	0	0	45	13.52963390625
n171	136	0	0	45	13.99437703125
n161	135	0	0	50	13.766011875
n162	134	0	0	57	13.75399265625
n174	141	0	0	38	14.460455624999996
n175	140	0	0	45	14.459120156249996
n172	138	0	0	50	14.226748593749997
n176	143	0	0	50	14.666117812499996
n173	139	0	0	57	14.232090468749997
n177	142	0	0	57	14.667453281249996
n178	147	0	0	38	14.930540624999995
n179	148	0	0	45	14.926534218749996
n199	153	0	0	48	15.43668328125
n180	149	0	0	50	15.101480624999997
n200	154	0	0	55	15.440689687499999
n164	144	0	0	62	14.911844062499997
n165	145	0	0	69	14.989301249999997
n166	146	0	0	74	15.034707187499997
n167	150	0	0	74	15.145551093749997
n168	151	0	0	75	15.217666406249997
n190	deletion
n169	152	0	0	82	15.328510312499997
n191	deletion
n182	155	0	0	86	15.411309374999998
n192	161	0	0	63	15.82931109375
n193	162	0	0	67	15.82931109375
n195	163	0	0	70	16.0282959375
n194	160	0	0	74	15.825304687500001
n196	164	0	0	75	16.05099890625
n187	165	0	0	81	16.0923984375
n186	159	0	0	82	15.82931109375
n214	deletion
n183	156	0	0	84	15.66905484375
n185	158	0	0	84	15.777227812500001
n184	157	0	0	86	15.734492812500001
n222	173	0	0	48	16.777493906249994
n223	174	0	0	55	16.781500312499993
n202	170	0	0	60	16.501051874999995
n203	168	0	0	67	16.498380937499995
n197	169	0	0	70	16.467665156249996
n198	167	0	0	75	16.498380937499995
n213	172	0	0	75	16.736094374999993
n188	166	0	0	78	16.29138328125
n189	171	0	0	79	16.523754843749995
n205	175	0	0	86	16.804203281249993
n215	183	0	0	63	17.191489218749993
n216	182	0	0	67	17.183476406249994
n226	deletion
n218	184	0	0	70	17.34373265624999
n217	181	0	0	74	17.180805468749995
n219	185	0	0	75	17.36643562499999
n210	186	0	0	81	17.42519624999999
n209	180	0	0	82	17.151425156249996
n206	177	0	0	84	16.995175312499992
n208	179	0	0	84	17.103348281249993
n207	178	0	0	86	17.059277812499992
n245	193	0	0	43	18.062214843749995
n246	194	0	0	50	18.063550312499995
n225	189	0	0	60	17.795121093749994
n220	188	0	0	70	17.773753593749994
n221	190	0	0	75	17.792450156249995
n211	187	0	0	78	17.61082640624999
n212	191	0	0	79	17.836520624999995
n228	195	0	0	82	18.064885781249995
n234	198	0	0	58	18.321295781249994
n238	205	0	0	58	18.78069703124999
n235	199	0	0	65	18.326637656249993
n239	204	0	0	65	18.74864578124999
n236	197	0	0	69	18.321295781249994
n240	203	0	0	69	18.740632968749992
n237	202	0	0	70	18.508261406249993
n232	211	0	0	77	18.489564843749992
n229	196	0	0	81	18.299928281249993
n231	201	0	0	81	18.413443124999993
n230	200	0	0	82	18.354682499999992
n242	208	0	0	58	19.186679531249986
n243	207	0	0	65	19.178666718749987
n244	209	0	0	69	19.180002187499987
n241	206	0	0	70	18.94228874999999
n251	210	0	0	70	19.416380156249986
n252	214	0	0	58	19.64608078124999
n257	219	0	0	58	20.09613374999998
n255	216	0	0	62	19.85842031249998
n253	213	0	0	65	19.64340984374999
n258	218	0	0	65	20.09079187499998
n254	212	0	0	69	19.63673249999999
n259	217	0	0	69	20.08544999999998
n256	215	0	0	70	19.85040749999998
n249	225	0	0	74	19.63272609374999
n282	228	0	0	48	20.773216406249965
n283	227	0	0	55	20.766539062499966
n262	223	0	0	58	20.490097031249974
n260	221	0	0	62	20.296454062499976
n274	226	0	0	63	20.707778437499964
n263	224	0	0	65	20.50478718749997
n264	222	0	0	69	20.492767968749973
n261	220	0	0	70	20.292447656249976
n275	229	0	0	70	20.749177968749965
n266	230	0	0	74	20.797254843749965
n276	236	0	0	55	21.18320531249996
n278	237	0	0	58	21.36349359374996
n277	235	0	0	62	21.18053437499996
n279	238	0	0	63	21.376848281249963
n271	239	0	0	69	21.420918749999966
n270	234	0	0	70	21.13379296874996
n267	231	0	0	72	20.977543124999965
n269	233	0	0	72	21.111089999999965
n268	232	0	0	74	21.040310156249966
n304	247	0	0	41	22.063279218749962
n285	245	0	0	48	21.83758499999996
n305	249	0	0	48	22.060608281249962
n286	243	0	0	55	21.826901249999963
n280	241	0	0	58	21.777488906249964
n281	242	0	0	63	21.800191874999964
n296	246	0	0	63	22.02187968749996
n272	240	0	0	66	21.605213437499966
n273	244	0	0	67	21.826901249999963
n297	248	0	0	70	22.039240781249962
n288	250	0	0	74	22.09132406249996
n298	256	0	0	55	22.46659078124996
n300	257	0	0	58	22.660233749999957
n299	255	0	0	62	22.46391984374996
