idx,matchtype,partid,ppartid
0,0,n13,0
1,0,n14,4
2,0,n2,2
3,0,n6,7
4,0,n3,3
5,0,n7,6
6,0,n4,1
7,0,n8,5
8,0,n16,8
9,0,n31,13
10,0,n17,12
11,0,n10,11
12,0,n11,10
13,0,n12,9
14,0,n33,18
15,0,n32,17
16,0,n20,15
17,0,n21,16
18,0,n22,14
19,0,n35,25
20,0,n28,24
21,0,n29,23
22,0,n34,21
23,0,n25,22
24,0,n49,27
25,0,n26,20
26,0,n30,26
27,0,n27,19
28,0,n50,31
29,0,n38,29
30,0,n42,32
31,0,n39,30
32,0,n43,33
33,0,n40,28
34,0,n44,34
35,0,n52,35
36,0,n67,40
37,0,n53,39
38,0,n46,38
39,0,n47,37
40,0,n48,36
41,0,n69,45
42,0,n68,44
43,0,n56,42
44,0,n57,43
45,0,n58,41
46,0,n71,50
47,0,n64,52
48,0,n65,51
49,0,n70,48
50,0,n61,49
51,0,n85,54
52,0,n62,47
53,0,n66,53
54,0,n63,46
55,0,n86,58
56,0,n74,56
57,0,n78,59
58,0,n75,57
59,0,n79,60
60,0,n76,55
61,0,n80,61
62,0,n88,62
63,0,n82,63
64,0,n83,64
65,0,n91,66
66,0,n84,65
67,0,n100,75
68,0,n99,74
69,0,n92,68
70,0,n97,73
71,0,n93,67
72,0,n98,72
73,0,n94,70
74,0,n95,71
75,0,n96,69
76,1,n107,undefined
77,0,n108,81
78,0,n105,80
79,0,n101,76
80,0,n102,78
81,0,n103,79
82,0,n104,77
83,0,n109,83
84,0,n111,85
85,0,n110,82
86,0,n112,84
87,0,n113,86
88,0,n114,87
89,0,n115,89
90,0,n116,88
91,0,n117,90
92,0,n121,93
93,0,n118,91
94,0,n119,92
95,0,n130,102
96,0,n129,101
97,0,n122,94
98,0,n127,100
99,0,n123,95
100,0,n128,99
101,0,n124,97
102,0,n125,98
103,0,n126,96
104,0,n137,109
105,0,n138,110
106,0,n135,107
107,0,n131,103
108,0,n132,105
109,0,n133,106
110,0,n134,104
111,0,n139,111
112,0,n141,113
113,0,n140,112
114,0,n142,114
115,0,n143,115
116,0,n144,116
117,0,n151,123
118,0,n152,122
119,0,n145,118
120,0,n146,117
121,0,n147,121
122,0,n148,120
123,0,n149,119
124,0,n155,127
125,0,n156,126
126,0,n153,125
127,0,n157,128
128,0,n154,124
129,0,n158,129
130,0,n159,131
131,0,n170,135
132,0,n160,130
133,0,n171,134
134,0,n161,132
135,0,n162,133
136,0,n174,139
137,0,n175,138
138,0,n172,137
139,0,n176,140
140,0,n173,136
141,0,n177,141
142,0,n178,145
143,0,n179,146
144,0,n199,153
145,1,n180,undefined
146,0,n200,151
147,0,n164,142
148,0,n165,143
149,0,n166,144
150,1,n167,undefined
151,0,n168,149
152,1,n190,undefined
153,0,n169,150
154,1,n191,undefined
155,0,n182,152
156,0,n192,160
157,0,n193,159
158,0,n195,162
159,0,n194,158
160,0,n196,163
161,0,n187,164
162,0,n186,161
163,0,n183,154
164,0,n185,157
165,0,n184,156
166,0,n222,174
167,0,n223,172
168,0,n202,169
169,0,n203,166
170,0,n197,168
171,0,n198,170
172,0,n213,173
173,0,n188,165
174,0,n189,167
175,0,n214,171
176,0,n205,175
177,0,n215,180
178,0,n216,182
179,0,n218,183
180,0,n217,179
181,0,n219,184
182,0,n210,185
183,0,n209,181
184,0,n206,176
185,0,n208,178
186,0,n207,177
187,0,n245,193
188,0,n246,192
189,0,n225,188
190,0,n226,187
191,0,n220,191
192,0,n221,190
193,0,n211,186
194,0,n212,189
195,0,n228,194
196,0,n234,198
197,0,n238,205
198,0,n235,197
199,0,n239,204
200,0,n236,196
201,0,n240,203
202,0,n237,201
203,0,n232,211
204,0,n229,195
205,0,n231,200
206,0,n230,199
207,0,n242,209
208,0,n243,208
209,0,n244,207
210,0,n241,206
211,0,n251,210
212,0,n252,214
213,0,n257,219
214,0,n255,216
215,0,n253,213
216,0,n258,218
217,0,n254,212
218,0,n259,217
219,0,n256,215
220,0,n249,225
221,0,n282,229
222,0,n283,228
223,0,n262,223
224,0,n260,220
225,0,n274,226
226,0,n263,224
227,0,n264,222
228,0,n261,221
229,0,n275,227
230,0,n266,230
231,0,n276,236
232,0,n278,237
233,0,n277,235
