xml_id	midi_id	track	channel	pitch	onset
n12	11	0	0	51	6.091874250000012
n2	2	0	0	79	6.065164875000011
n4	4	0	0	80	6.257472375000012
n1	1	0	0	82	5.929481250000011
n3	3	0	0	82	6.158113500000012
n11	10	0	0	58	6.335463750000013
n7	7	0	0	75	6.509608875000015
n6	6	0	0	77	6.428412375000014
n5	5	0	0	79	6.333327000000013
n10	12	0	0	70	6.752130000000015
n9	9	0	0	72	6.6752070000000145
n8	8	0	0	74	6.5779848750000145
n23	22	0	0	53	6.804480375000016
n15	15	0	0	65	7.001061375000016
n14	14	0	0	67	6.913454625000016
n13	13	0	0	68	6.827984625000016
n22	16	0	0	58	7.0587536250000165
n18	19	0	0	60	7.228625250000017
n17	18	0	0	62	7.147428750000016
n16	17	0	0	63	7.074779250000017
n19	20	0	0	58	7.299138000000018
n20	21	0	0	60	7.396360125000018
n21	23	0	0	62	7.4583258750000185
n34	27	0	0	55	7.507471125000019
n25	25	0	0	62	7.61858212500002
n24	24	0	0	63	7.552342875000019
n26	26	0	0	63	7.70298375000002
n33	33	0	0	58	7.80661612500002
n28	29	0	0	63	7.8472143750000205
n27	28	0	0	64	7.76601787500002
n29	30	0	0	64	7.9337527500000204
n31	32	0	0	64	8.10362437500002
n30	31	0	0	65	7.99571850000002
n32	34	0	0	65	8.165590125000021
n45	38	0	0	50	8.22114562500002
n36	36	0	0	65	8.323709625000019
n35	35	0	0	66	8.247855000000019
n37	37	0	0	66	8.414521500000019
n44	44	0	0	58	8.481829125000017
n39	40	0	0	66	8.573709375000016
n38	39	0	0	67	8.481829125000017
n40	41	0	0	67	8.650632375000015
n42	43	0	0	67	8.823709125000015
n41	42	0	0	68	8.726487000000015
n43	45	0	0	68	8.899563750000015
n56	52	0	0	51	8.987170500000012
n46	46	0	0	67	8.996785875000011
n48	48	0	0	68	9.147426750000012
n47	47	0	0	70	9.076914000000011
n55	55	0	0	58	9.22434975000001
n49	49	0	0	67	9.22541812500001
n50	50	0	0	68	9.293794125000009
n51	51	0	0	70	9.363238500000008
n52	53	0	0	72	9.448708500000008
n53	54	0	0	74	9.533110125000007
n54	56	0	0	75	9.604691250000007
n66	58	0	0	44	9.705118500000005
n57	57	0	0	77	9.686956125000005
n59	62	0	0	82	9.867511500000004
n58	59	0	0	84	9.777768000000004
n67	60	0	0	56	9.961528500000004
n68	61	0	0	60	9.965802000000004
n62	65	0	0	77	10.096143750000003
n61	64	0	0	79	10.023494250000002
n60	63	0	0	80	9.936955875000004
n65	68	0	0	72	10.336528125000003
n64	67	0	0	74	10.253194875000002
n63	66	0	0	75	10.181613750000002
n78	70	0	0	46	10.438023750000001
n69	69	0	0	70	10.411314375000002
n71	72	0	0	75	10.586527875
n70	71	0	0	77	10.504263
n79	74	0	0	56	10.6880235
n80	76	0	0	58	10.697638874999997
n81	75	0	0	62	10.689091874999999
n74	78	0	0	70	10.847211374999993
n73	77	0	0	72	10.759604624999994
n72	73	0	0	74	10.676271375
n77	81	0	0	65	11.069433374999994
n76	80	0	0	67	10.987168499999994
n75	79	0	0	68	10.923065999999993
n91	87	0	0	51	11.153834999999992
n82	82	0	0	63	11.152766624999993
n83	83	0	0	65	11.245715249999991
n84	85	0	0	67	11.321569874999991
n92	86	0	0	55	11.381398874999988
n93	84	0	0	58	11.373920249999989
n94	90	0	0	63	11.36857837499999
n85	88	0	0	68	11.401697999999987
n86	89	0	0	70	11.474347499999984
n87	91	0	0	72	11.543791874999982
n88	92	0	0	74	11.617509749999982
n89	93	0	0	75	11.698706249999983
n90	94	0	0	77	11.780971124999983
n105	106	0	0	51	11.849347124999982
n95	95	0	0	79	11.86644112499998
n97	97	0	0	80	12.064090499999974
n96	96	0	0	82	11.971141874999978
n104	103	0	0	58	12.126056249999971
n100	100	0	0	75	12.294859499999967
n99	99	0	0	77	12.222209999999967
n98	98	0	0	79	12.134603249999971
n103	104	0	0	70	12.542722499999966
n102	102	0	0	72	12.458320874999968
n101	101	0	0	74	12.385671374999967
n116	115	0	0	53	12.641012999999965
n108	108	0	0	65	12.776696624999964
n107	107	0	0	67	12.688021499999966
n106	105	0	0	68	12.626055749999965
n115	110	0	0	58	12.893149499999964
n111	112	0	0	60	12.994645124999963
n110	111	0	0	62	12.925200749999965
n109	109	0	0	63	12.845072624999965
n112	113	0	0	58	13.059815999999962
n113	114	0	0	60	13.163448374999962
n114	116	0	0	62	13.222208999999962
n127	121	0	0	55	13.289516624999962
n118	118	0	0	62	13.370713124999963
n117	117	0	0	63	13.315157624999962
n119	119	0	0	63	13.464730124999962
n126	126	0	0	58	13.55767874999996
n121	122	0	0	63	13.59293512499996
n120	120	0	0	64	13.52455912499996
n122	123	0	0	64	13.677336749999958
n124	125	0	0	64	13.850413499999958
n123	124	0	0	65	13.748917874999957
n125	127	0	0	65	13.923062999999956
n138	132	0	0	50	13.994644124999956
n129	129	0	0	65	14.070498749999954
n128	128	0	0	66	13.995712499999955
n130	130	0	0	66	14.168789249999953
n137	137	0	0	58	14.251054124999953
n132	133	0	0	66	14.298062624999952
n131	131	0	0	67	14.214729374999953
n133	134	0	0	67	14.386737749999952
n135	136	0	0	67	14.565156374999951
n134	135	0	0	68	14.461523999999951
n136	138	0	0	68	14.644216124999952
n149	144	0	0	51	14.69549812499995
n139	139	0	0	67	14.72861774999995
n141	141	0	0	68	14.877121874999949
n140	140	0	0	70	14.808745874999948
n148	143	0	0	58	14.969002124999946
n142	142	0	0	67	14.949771374999946
n143	145	0	0	68	15.020284124999945
n144	146	0	0	70	15.077976374999944
n145	147	0	0	72	15.167719874999941
n146	148	0	0	74	15.24677962499994
n147	149	0	0	75	15.319429124999939
n159	150	0	0	44	15.388873499999937
n150	151	0	0	77	15.408104249999937
n152	155	0	0	82	15.573702374999932
n151	152	0	0	84	15.481822124999933
n160	153	0	0	56	15.65596724999993
n161	154	0	0	60	15.68053987499993
n155	158	0	0	77	15.811949999999928
n154	157	0	0	79	15.744642374999929
n153	156	0	0	80	15.646351874999931
n158	161	0	0	72	16.042718999999927
n157	160	0	0	74	15.976479749999928
n156	159	0	0	75	15.889941374999928
n171	162	0	0	46	16.100411249999926
n162	163	0	0	74	16.131394124999925
n164	165	0	0	75	16.316222999999923
n163	164	0	0	77	16.240368374999925
n172	deletion
n173	166	0	0	58	16.381393874999922
n174	167	0	0	62	16.366436624999924
n165	168	0	0	74	16.394214374999923
n166	169	0	0	75	16.49570999999992
n167	170	0	0	77	16.56194924999992
n168	171	0	0	79	16.641008999999922
n169	172	0	0	80	16.69122262499992
n170	174	0	0	82	16.778829374999923
n184	176	0	0	51	16.860025874999923
n175	173	0	0	75	16.868572874999924
n176	175	0	0	77	16.95831637499992
n177	177	0	0	79	17.03951287499992
n185	179	0	0	55	17.108957249999925
n186	178	0	0	58	17.097205124999924
n187	183	0	0	63	17.112162374999926
n178	180	0	0	80	17.108957249999925
n179	181	0	0	82	17.183743499999924
n180	182	0	0	84	17.276692124999922
n181	184	0	0	86	17.335452749999924
n182	185	0	0	87	17.42519624999992
n183	186	0	0	89	17.49784574999992
n198	196	0	0	51	17.589725999999917
n188	187	0	0	91	17.58224737499992
n190	189	0	0	92	17.772418124999906
n189	188	0	0	94	17.68481137499991
n197	192	0	0	58	17.872845374999905
n193	193	0	0	87	18.026691374999903
n192	191	0	0	89	17.949768374999902
n191	190	0	0	91	17.849341124999906
n196	197	0	0	82	18.268144124999903
n195	195	0	0	84	18.178400624999902
n194	194	0	0	86	18.105751124999898
n209	206	0	0	53	18.3600243749999
n201	200	0	0	77	18.52455412499989
n200	199	0	0	79	18.431605499999897
n199	198	0	0	80	18.352545749999898
n208	207	0	0	58	18.707246249999887
n204	203	0	0	72	18.730750499999886
n206	205	0	0	72	18.907032374999886
n203	202	0	0	74	18.66130612499989
n202	201	0	0	75	18.60147712499989
n205	204	0	0	70	18.811946999999886
n207	208	0	0	74	18.974339999999884
n220	214	0	0	55	19.071562124999883
n211	210	0	0	74	19.135664624999883
n210	209	0	0	75	19.051262999999885
n212	211	0	0	75	19.221134624999884
n219	218	0	0	58	19.342929374999883
n214	213	0	0	75	19.355749874999884
n213	212	0	0	76	19.284168749999886
n215	215	0	0	76	19.430536124999882
n217	217	0	0	76	19.600407749999885
n216	216	0	0	77	19.502117249999884
n218	219	0	0	77	19.671988874999887
n231	224	0	0	50	19.771347749999883
n222	221	0	0	77	19.831176749999884
n221	220	0	0	78	19.744638374999887
n223	222	0	0	78	19.924125374999885
n230	229	0	0	58	20.03309962499988
n225	225	0	0	78	20.063014124999878
n224	223	0	0	79	19.992501374999883
n226	226	0	0	79	20.13459524999988
n228	228	0	0	79	20.318355749999878
n227	227	0	0	80	20.21792849999988
n229	230	0	0	80	20.404894124999878
n242	237	0	0	51	20.459381249999876
n232	231	0	0	79	20.473270124999875
n234	233	0	0	80	20.636731499999875
n233	232	0	0	82	20.556603374999874
n241	deletion
n235	234	0	0	79	20.698697249999874
n236	238	0	0	80	20.78096212499987
n237	239	0	0	82	20.823697124999867
n238	240	0	0	84	20.918782499999864
n239	241	0	0	86	20.993568749999863
n240	242	0	0	87	21.068354999999862
n252	243	0	0	44	21.150619874999858
n243	deletion
n245	deletion
n244	253	0	0	84	21.813012374999854
n253	deletion
n254	245	0	0	60	21.399551249999856
n248	deletion
n247	deletion
n246	deletion
n251	deletion
n250	deletion
n249	deletion
n264	254	0	0	46	21.896345624999856
n255	255	0	0	82	21.900619124999857
n257	258	0	0	87	22.088653124999855
n256	256	0	0	89	21.979678874999856
n265	257	0	0	56	22.161302624999855
n266	261	0	0	58	22.174123124999856
n267	260	0	0	62	22.173054749999856
n260	263	0	0	82	22.356815249999855
n259	262	0	0	84	22.269208499999856
n258	259	0	0	86	22.164507749999856
n263	266	0	0	77	22.621772249999854
n262	265	0	0	79	22.541644124999856
n261	264	0	0	80	22.451900624999855
n277	275	0	0	51	22.728609749999855
n268	267	0	0	75	22.742498624999854
n270	269	0	0	77	22.950831749999853
n269	268	0	0	79	22.860019874999857
n278	274	0	0	55	23.005318874999848
n279	273	0	0	58	23.023481249999847
n280	270	0	0	63	22.99356674999985
n273	276	0	0	72	23.207241749999845
n272	272	0	0	74	23.119634999999846
n271	271	0	0	75	23.036301749999843
n276	279	0	0	65	23.494634624999843
n275	278	0	0	68	23.367497999999845
n274	277	0	0	70	23.280959624999845
n290	284	0	0	39	23.67839512499984
n292	deletion
n281	280	0	0	66	23.668779749999842
n283	281	0	0	68	23.957240999999833
n282	283	0	0	70	23.842924874999834
n291	286	0	0	51	24.017069999999833
n286	287	0	0	63	24.191215124999832
n285	285	0	0	65	24.11429212499983
n284	282	0	0	66	24.018138374999833
n289	deletion
n288	289	0	0	59	24.385659374999832
n287	288	0	0	61	24.273479999999832
n303	295	0	0	44	24.541642124999832
n305	deletion
n293	290	0	0	59	24.55232587499983
n294	291	0	0	63	24.65702662499983
n295	292	0	0	68	24.75211199999983
n304	293	0	0	56	24.807667499999827
n297	294	0	0	63	24.966855374999827
n298	297	0	0	68	25.041641624999826
n296	296	0	0	71	24.84826574999983
n302	deletion
n300	299	0	0	63	25.228607249999826
n299	298	0	0	66	25.126043249999825
n301	300	0	0	66	25.334376374999827
n315	309	0	0	37	25.44121387499983
n317	deletion
n306	301	0	0	65	25.467923249999828
n308	303	0	0	70	25.623905999999824
n307	302	0	0	71	25.480743749999828
