xml_id	midi_id	track	channel	pitch	onset
n12	10	1	0	51	1.5143229166666665
n2	1	1	0	79	1.5091145833333333
n4	3	1	0	80	1.7526041666666663
n1	0	1	0	82	0.9882812499999999
n3	2	1	0	82	1.649739583333333
n11	9	1	0	58	1.8645833333333328
n7	6	1	0	75	2.0703124999999996
n6	5	1	0	77	1.963541666666666
n5	4	1	0	79	1.8606770833333328
n10	11	1	0	70	2.3854166666666665
n9	8	1	0	72	2.270833333333333
n8	7	1	0	74	2.169270833333333
n23	22	1	0	53	2.453125
n15	14	1	0	65	2.6640625
n14	13	1	0	67	2.56640625
n13	12	1	0	68	2.453125
n22	15	1	0	58	2.752604166666667
n18	18	1	0	60	2.966145833333334
n17	17	1	0	62	2.869791666666667
n16	16	1	0	63	2.7669270833333335
n19	19	1	0	58	3.075520833333334
n20	20	1	0	60	3.167968750000001
n21	21	1	0	62	3.2617187500000004
n34	33	1	0	55	3.360677083333334
n25	24	1	0	62	3.4687500000000004
n24	23	1	0	63	3.3671875000000004
n26	25	1	0	63	3.555989583333334
n33	31	1	0	58	3.679687500000001
n28	27	1	0	63	3.7799479166666674
n27	26	1	0	64	3.6588541666666674
n29	28	1	0	64	3.8815104166666674
n31	30	1	0	64	4.070312500000001
n30	29	1	0	65	3.973958333333334
n32	32	1	0	65	4.165364583333335
n45	43	1	0	50	4.248697916666668
n36	35	1	0	65	4.356770833333336
n35	34	1	0	66	4.259114583333335
n37	36	1	0	66	4.445312500000003
n44	42	1	0	58	4.519531250000003
n39	38	1	0	66	4.6510416666666705
n38	37	1	0	67	4.548177083333337
n40	39	1	0	67	4.751302083333337
n42	41	1	0	67	4.9596354166666705
n41	40	1	0	68	4.848958333333337
n43	44	1	0	68	5.058593750000004
n56	50	1	0	51	5.130208333333338
n46	45	1	0	67	5.162760416666671
n48	47	1	0	68	5.371093750000004
n47	46	1	0	70	5.264322916666671
n55	49	1	0	58	5.4648437500000036
n49	48	1	0	67	5.4557291666666705
n50	51	1	0	68	5.555989583333337
n51	52	1	0	70	5.645833333333337
n52	53	1	0	72	5.746093750000003
n53	54	1	0	74	5.842447916666669
n54	55	1	0	75	5.936197916666669
n66	56	1	0	44	6.016927083333335
n57	57	1	0	77	6.028645833333335
n59	59	1	0	82	6.246093750000001
n58	58	1	0	84	6.139322916666668
n67	63	1	0	56	6.339843750000001
n68	61	1	0	60	6.342447916666668
n62	64	1	0	77	6.510416666666669
n61	62	1	0	79	6.433593750000002
n60	60	1	0	80	6.330729166666668
n65	67	1	0	72	6.798177083333334
n64	66	1	0	74	6.709635416666668
n63	65	1	0	75	6.604166666666669
n78	68	1	0	46	6.921875000000001
n69	69	1	0	70	6.919270833333334
n71	71	1	0	75	7.130208333333334
n70	70	1	0	77	7.031250000000001
n79	76	1	0	56	7.255208333333333
n80	75	1	0	58	7.2421875
n81	73	1	0	62	7.255208333333333
n74	77	1	0	70	7.441406249999999
n73	74	1	0	72	7.3359375
n72	72	1	0	74	7.240885416666667
n77	80	1	0	65	7.733072916666665
n76	79	1	0	67	7.630208333333332
n75	78	1	0	68	7.524739583333332
n91	90	1	0	51	7.860677083333331
n82	81	1	0	63	7.847656249999998
n83	82	1	0	65	7.940104166666665
n84	83	1	0	67	8.040364583333332
n92	86	1	0	55	8.145833333333332
n93	87	1	0	58	8.161458333333332
n94	89	1	0	63	8.143229166666666
n85	84	1	0	68	8.134114583333332
n86	85	1	0	70	8.236979166666664
n87	88	1	0	72	8.326822916666663
n88	91	1	0	74	8.428385416666663
n89	92	1	0	75	8.513020833333329
n90	93	1	0	77	8.615885416666663
n105	105	1	0	51	8.763020833333329
n95	94	1	0	79	8.747395833333329
n97	96	1	0	80	8.964843749999995
n96	95	1	0	82	8.860677083333329
n104	102	1	0	58	9.044270833333327
n100	99	1	0	75	9.249999999999993
n99	98	1	0	77	9.152343749999993
n98	97	1	0	79	9.06119791666666
n103	103	1	0	70	9.544270833333325
n102	101	1	0	72	9.440104166666659
n101	100	1	0	74	9.342447916666659
n116	115	1	0	53	9.618489583333325
n108	107	1	0	65	9.828124999999991
n107	106	1	0	67	9.717447916666659
n106	104	1	0	68	9.610677083333325
n115	108	1	0	58	9.927083333333325
n111	111	1	0	60	10.124999999999995
n110	110	1	0	62	10.028645833333327
n109	109	1	0	63	9.933593749999991
n112	112	1	0	58	10.220052083333329
n113	113	1	0	60	10.31901041666666
n114	114	1	0	62	10.406249999999995
n127	125	1	0	55	10.51041666666666
n118	117	1	0	62	10.60026041666666
n117	116	1	0	63	10.50260416666666
n119	118	1	0	63	10.69401041666666
n126	124	1	0	58	10.800781249999995
n121	120	1	0	63	10.907552083333329
n120	119	1	0	64	10.79947916666666
n122	121	1	0	64	11.005208333333329
n124	123	1	0	64	11.199218749999995
n123	122	1	0	65	11.098958333333329
n125	126	1	0	65	11.305989583333329
n138	137	1	0	50	11.371093749999996
n129	128	1	0	65	11.494791666666664
n128	127	1	0	66	11.394531249999998
n130	129	1	0	66	11.585937499999998
n137	135	1	0	58	11.639322916666666
n132	131	1	0	66	11.803385416666666
n131	130	1	0	67	11.688802083333332
n133	132	1	0	67	11.895833333333334
n135	134	1	0	67	12.098958333333334
n134	133	1	0	68	11.986979166666668
n136	136	1	0	68	12.1953125
n149	143	1	0	51	12.295572916666666
n139	138	1	0	67	12.3046875
n141	140	1	0	68	12.5078125
n140	139	1	0	70	12.401041666666666
n148	142	1	0	58	12.595052083333334
n142	141	1	0	67	12.598958333333334
n143	144	1	0	68	12.694010416666668
n144	145	1	0	70	12.789062500000004
n145	146	1	0	72	12.886718750000002
n146	147	1	0	74	12.98697916666667
n147	148	1	0	75	13.078125000000002
n159	149	1	0	44	13.158854166666666
n150	150	1	0	77	13.173177083333334
n152	152	1	0	82	13.382812500000002
n151	151	1	0	84	13.274739583333336
n160	156	1	0	56	13.488281250000004
n161	154	1	0	60	13.464843750000004
n155	157	1	0	77	13.660156250000002
n154	155	1	0	79	13.570312500000004
n153	153	1	0	80	13.460937500000004
n158	160	1	0	72	13.945312500000004
n157	159	1	0	74	13.867187500000004
n156	158	1	0	75	13.766927083333336
n171	161	1	0	46	14.045572916666671
n162	162	1	0	74	14.074218750000004
n164	164	1	0	75	14.276041666666671
n163	163	1	0	77	14.180989583333337
n172	169	1	0	56	14.391927083333337
n173	168	1	0	58	14.395833333333337
n174	166	1	0	62	14.368489583333337
