idx,matchtype,partid,ppartid
0,0,n25,9
1,0,n26,8
2,0,n4,1
3,0,n8,4
4,0,n10,6
5,0,n14,11
6,0,n15,14
7,0,n5,0
8,0,n7,3
9,0,n9,5
10,0,n11,7
11,0,n13,12
12,0,n16,15
13,0,n6,2
14,0,n12,13
15,0,n1,10
16,0,n27,17
17,0,n28,16
18,0,n19,19
19,0,n18,20
20,0,n17,21
21,0,n2,18
22,0,n29,28
23,0,n30,24
24,0,n20,22
25,0,n24,27
26,0,n21,23
27,0,n23,26
28,0,n22,29
29,0,n3,25
30,0,n55,51
31,0,n56,44
32,0,n33,31
33,0,n37,34
34,0,n34,30
35,0,n36,33
36,0,n35,32
37,0,n31,38
38,0,n39,36
39,0,n43,41
40,0,n38,35
41,0,n40,37
42,0,n42,39
43,0,n41,40
44,0,n44,42
45,0,n48,47
46,0,n45,43
47,0,n47,45
48,0,n46,46
49,0,n32,52
50,0,n50,49
51,0,n54,55
52,0,n49,48
53,0,n51,50
54,0,n53,54
55,0,n52,53
56,0,n83,65
57,0,n84,63
58,0,n64,56
59,0,n68,60
60,0,n65,57
61,0,n67,59
62,0,n66,58
63,0,n59,66
64,0,n70,62
65,0,n74,67
66,0,n69,61
67,0,n71,64
68,0,n73,68
69,0,n72,69
70,0,n85,72
71,0,n86,75
72,0,n75,71
73,0,n77,74
74,0,n76,73
75,0,n78,76
76,0,n61,79
77,0,n60,70
78,0,n87,84
79,0,n88,81
80,0,n81,82
81,0,n79,77
82,0,n82,83
83,0,n80,78
84,0,n63,85
85,0,n62,80
86,0,n114,93
87,0,n115,89
88,0,n93,86
89,0,n97,92
90,0,n94,87
91,0,n96,91
92,0,n95,90
93,0,n89,88
94,0,n116,95
95,0,n117,94
96,0,n98,97
97,0,n102,101
98,0,n99,96
99,0,n101,99
100,0,n100,98
101,0,n90,100
102,0,n118,102
103,0,n119,105
104,0,n103,103
105,0,n107,108
106,0,n104,104
107,0,n106,107
108,0,n105,106
109,0,n91,111
110,0,n109,110
111,0,n113,113
112,0,n108,109
113,0,n112,115
114,0,n124,116
115,0,n126,119
116,0,n128,121
117,0,n130,123
118,0,n132,128
119,0,n135,131
120,0,n137,136
121,1,n110,undefined
122,1,n140,undefined
123,0,n111,114
124,0,n92,112
125,0,n144,125
126,0,n145,124
127,0,n123,117
128,0,n127,120
129,0,n125,118
130,0,n120,126
131,0,n129,122
132,0,n133,127
133,0,n134,130
134,0,n131,129
135,0,n146,134
136,1,n148,undefined
137,0,n147,133
138,1,n149,undefined
139,0,n138,135
140,0,n136,137
141,0,n121,132
142,0,n139,138
143,0,n143,143
144,1,n142,undefined
145,0,n155,148
146,0,n161,156
147,0,n151,162
148,1,n141,undefined
149,0,n122,141
150,0,n174,161
151,0,n175,158
152,0,n153,147
153,0,n157,150
154,0,n154,146
155,0,n156,149
156,0,n150,154
157,0,n159,152
158,0,n163,157
159,0,n158,151
160,0,n160,153
161,0,n162,155
162,0,n164,159
163,0,n168,163
164,0,n165,160
165,0,n167,165
166,0,n166,164
167,0,n178,169
168,0,n179,170
169,0,n169,166
170,0,n173,172
171,0,n170,167
172,0,n172,173
173,0,n171,171
174,0,n152,168
175,0,n204,177
176,0,n205,176
177,0,n186,174
178,0,n190,181
179,0,n187,175
180,0,n189,180
181,0,n188,179
182,0,n180,178
183,0,n206,184
184,1,n207,undefined
185,0,n191,182
186,0,n195,188
187,0,n192,183
188,0,n194,186
189,0,n193,187
190,0,n181,185
191,0,n208,201
192,0,n235,223
193,1,n209,undefined
194,0,n197,191
195,0,n199,193
196,0,n196,190
197,0,n198,192
198,0,n183,194
199,0,n182,189
200,0,n201,196
201,0,n203,200
202,0,n200,195
203,0,n202,199
204,0,n184,198
205,0,n185,197
206,0,n234,222
207,0,n212,202
208,0,n216,206
209,0,n213,203
210,0,n215,205
211,0,n214,204
212,0,n210,212
213,0,n218,208
214,0,n222,213
215,0,n217,207
216,0,n219,209
217,0,n221,211
218,0,n220,210
219,0,n223,215
220,0,n227,218
221,0,n224,214
222,0,n226,217
223,0,n225,216
224,0,n211,224
225,0,n229,220
226,0,n233,227
227,0,n228,219
228,0,n230,221
229,0,n232,226
230,0,n231,225
231,0,n262,242
232,0,n263,236
233,0,n240,228
234,0,n244,232
235,0,n246,234
236,0,n241,229
237,0,n243,231
238,0,n242,230
239,0,n238,237
240,0,n250,239
241,0,n245,233
242,0,n247,235
243,0,n249,238
244,0,n248,240
245,0,n264,257
246,0,n265,252
247,0,n266,251
248,0,n251,243
249,0,n255,247
250,0,n252,244
251,0,n254,246
252,0,n253,245
253,0,n239,253
254,0,n257,249
255,0,n261,255
256,0,n256,248
257,0,n258,250
258,0,n260,254
259,0,n259,256
260,0,n292,285
261,1,n295,undefined
262,0,n293,279
263,1,n296,undefined
264,0,n294,280
265,0,n323,294
266,1,n297,undefined
267,0,n270,258
268,0,n274,262
269,0,n271,259
270,0,n273,261
271,0,n272,260
272,0,n267,264
273,0,n280,268
274,0,n276,265
275,0,n275,263
276,0,n277,266
277,0,n279,270
278,0,n278,269
279,0,n268,267
280,0,n281,271
281,0,n285,275
282,0,n282,272
283,0,n284,273
284,0,n283,274
285,0,n269,281
286,0,n287,277
287,0,n291,282
288,0,n286,276
289,0,n288,278
290,0,n290,283
291,0,n289,284
292,0,n322,298
293,0,n301,286
294,0,n305,290
295,0,n302,287
296,0,n304,288
297,0,n303,289
298,0,n298,295
299,0,n307,292
300,0,n311,296
301,0,n312,299
302,0,n306,291
303,0,n308,293
304,0,n310,297
305,0,n317,308
306,0,n321,314
307,0,n333,317
308,0,n337,321
309,0,n309,303
310,0,n324,307
311,0,n325,301
312,0,n316,305
313,0,n313,300
314,0,n315,306
315,0,n314,304
316,0,n299,302
317,1,n335,undefined
318,0,n326,315
319,0,n327,311
320,0,n328,310
321,0,n318,309
322,0,n320,313
323,0,n319,316
324,0,n300,312
325,0,n356,339
326,0,n357,338
327,0,n358,340
328,0,n334,318
329,0,n336,320
330,0,n329,323
331,0,n343,327
332,0,n339,324
333,0,n338,322
334,0,n340,325
335,0,n342,329
336,0,n341,328
337,0,n330,326
338,1,n359,undefined
339,1,n360,undefined
340,1,n361,undefined
341,0,n345,330
342,0,n349,334
343,0,n346,331
344,0,n348,333
345,0,n347,332
346,0,n331,341
347,0,n351,336
348,0,n355,342
349,0,n350,335
350,0,n352,337
351,0,n354,344
352,0,n353,343
353,0,n391,352
354,0,n392,358
355,0,n372,348
356,1,n368,undefined
357,0,n369,345
358,0,n371,346
359,0,n370,347
360,0,n362,353
361,0,n374,350
362,1,n378,undefined
363,0,n373,349
364,0,n375,351
365,0,n377,354
366,0,n376,355
367,0,n395,366
368,0,n393,363
369,0,n381,357
370,0,n384,362
371,0,n380,356
372,0,n383,361
373,0,n364,360
374,0,n363,359
375,0,n394,371
376,0,n387,365
377,0,n390,369
378,0,n386,364
379,0,n389,368
380,0,n366,370
381,0,n365,367
382,0,n425,382
383,0,n426,381
384,0,n402,372
385,0,n406,376
386,0,n403,373
387,0,n405,375
388,0,n404,374
389,0,n396,380
390,0,n408,378
391,0,n412,384
392,0,n407,377
393,0,n409,379
394,0,n411,383
395,0,n410,388
396,0,n429,400
397,0,n427,394
398,0,n415,386
399,0,n418,390
400,0,n414,387
401,0,n417,389
402,0,n398,391
403,1,n416,undefined
404,0,n397,385
405,1,n413,undefined
406,0,n428,395
407,0,n424,399
408,0,n421,396
409,0,n423,397
410,0,n420,393
411,0,n400,398
412,1,n422,undefined
413,0,n399,392
414,1,n419,undefined
415,0,n458,408
416,0,n435,401
417,0,n439,405
418,0,n441,407
419,0,n436,402
420,0,n438,404
421,0,n437,403
422,0,n430,410
423,0,n445,412
424,0,n440,406
425,0,n442,409
426,0,n444,411
427,0,n443,415
428,0,n459,413
429,0,n460,421
430,0,n489,435
431,1,n463,undefined
432,0,n448,417
433,0,n451,420
434,0,n447,416
435,0,n450,419
436,0,n432,418
437,1,n449,undefined
438,0,n431,414
439,0,n464,438
440,1,n446,undefined
441,0,n462,425
442,0,n461,424
443,0,n457,427
444,1,n454,undefined
445,0,n453,423
446,0,n456,428
447,0,n434,426
448,1,n455,undefined
449,0,n433,422
450,1,n452,undefined
451,0,n488,456
452,0,n467,430
453,0,n471,433
454,0,n468,429
455,0,n470,432
456,0,n469,431
457,0,n473,436
458,0,n477,439
459,0,n472,434
460,0,n474,437
461,0,n476,441
462,0,n475,440
463,0,n490,444
464,0,n491,445
465,0,n478,442
466,0,n482,447
467,0,n479,443
468,0,n481,448
469,0,n480,446
470,0,n465,449
471,0,n492,458
472,0,n493,452
473,0,n483,450
474,0,n487,457
475,0,n484,451
476,0,n486,455
477,0,n485,454
478,0,n466,453
479,0,n518,472
480,0,n519,466
481,0,n496,459
482,0,n500,463
483,0,n497,460
484,0,n499,462
485,0,n498,461
486,0,n494,468
487,0,n502,465
488,0,n506,470
489,0,n501,464
490,0,n503,467
491,0,n505,469
492,0,n504,471
493,0,n522,485
494,0,n520,479
495,0,n523,482
496,0,n507,473
497,0,n511,477
498,0,n508,474
499,0,n510,476
500,0,n509,475
501,0,n495,483
502,0,n521,484
503,0,n513,480
504,0,n517,487
505,0,n512,478
506,0,n514,481
507,0,n516,486
508,0,n515,488
509,0,n553,501
510,0,n554,499
511,0,n549,492
512,0,n527,489
513,0,n531,493
514,0,n528,490
515,0,n530,491
516,0,n529,497
