idx,matchtype,partid,ppartid
0,0,n25,7
1,0,n26,5
2,0,n4,0
3,0,n8,4
4,0,n10,8
5,0,n14,11
6,0,n15,14
7,0,n5,1
8,0,n7,2
9,0,n9,6
10,0,n11,10
11,0,n13,12
12,0,n6,3
13,0,n12,13
14,0,n1,9
15,0,n27,16
16,0,n28,15
17,0,n19,19
18,0,n16,17
19,0,n18,20
20,0,n17,21
21,0,n2,18
22,0,n29,22
23,0,n30,23
24,0,n20,24
25,0,n24,29
26,0,n21,26
27,0,n23,28
28,0,n22,27
29,0,n3,25
30,0,n55,48
31,0,n56,46
32,0,n33,31
33,0,n37,34
34,0,n34,30
35,0,n36,33
36,0,n35,32
37,0,n31,38
38,0,n39,36
39,0,n43,41
40,0,n38,35
41,0,n40,37
42,0,n42,40
43,0,n41,39
44,0,n44,42
45,0,n48,47
46,0,n45,43
47,0,n47,45
48,0,n46,44
49,0,n32,52
50,0,n50,50
51,0,n54,55
52,0,n49,49
53,0,n51,51
54,0,n53,54
55,0,n52,53
56,0,n83,61
57,0,n84,62
58,0,n64,56
59,0,n68,60
60,0,n70,64
61,0,n65,57
62,0,n67,59
63,0,n66,58
64,0,n59,65
65,0,n74,68
66,0,n69,63
67,0,n71,66
68,0,n73,69
69,0,n72,67
70,0,n85,76
71,0,n86,77
72,0,n75,71
73,0,n77,74
74,0,n76,72
75,0,n78,75
76,0,n61,73
77,0,n60,70
78,0,n87,81
79,0,n88,82
80,0,n81,83
81,0,n79,78
82,0,n82,84
83,0,n80,80
84,0,n63,85
85,0,n62,79
86,0,n114,89
87,0,n115,90
88,0,n93,86
89,0,n97,93
90,0,n94,87
91,0,n96,92
92,0,n95,91
93,0,n89,88
94,0,n116,95
95,0,n117,94
96,0,n98,96
97,0,n102,101
98,0,n99,97
99,0,n101,100
100,0,n100,99
101,0,n90,98
102,0,n118,102
103,0,n119,105
104,0,n103,103
105,0,n107,108
106,0,n104,104
107,0,n106,107
108,0,n105,106
109,0,n91,110
110,0,n109,111
111,0,n113,115
112,0,n108,109
113,0,n110,112
114,0,n112,114
115,0,n111,116
116,0,n92,113
117,0,n144,121
118,0,n145,119
119,0,n123,117
120,0,n127,123
121,0,n124,118
122,0,n126,120
123,0,n125,122
124,0,n120,126
125,0,n129,125
126,0,n133,128
127,0,n134,131
