onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.515625,3.9440105,58,30,1,0,0,1.018229,0.0
1.7838541,3.6757812,61,32,1,0,1,1.018229,0.0
2.1536458,3.3059895,61,31,1,0,2,1.018229,0.0
2.0130208,3.4466145,66,28,1,0,3,1.018229,0.0
2.3255208,3.1341145,58,17,1,0,4,1.018229,0.0
2.454427,3.0052083,61,27,1,0,5,2.454427,1.0
2.5872395,2.8723958,58,25,1,0,6,2.454427,1.0
2.7161458,2.7434895,61,35,1,0,7,2.454427,1.0
0.98046875,4.4791665,70,50,1,0,8,-10.0,-10.0
1.0195312,4.440104,49,19,1,0,9,1.018229,0.0
1.0182291,4.4414062,42,31,1,0,10,1.018229,0.0
2.873698,2.5859375,66,38,1,0,11,2.454427,1.0
3.0117188,2.4479167,61,36,1,0,12,2.454427,1.0
3.141927,2.3177083,58,33,1,0,13,2.454427,1.0
3.4557292,2.0039062,58,29,1,0,14,3.332031,2.0
3.5976562,1.8619791,61,37,1,0,15,3.332031,2.0
3.265625,2.1940105,70,56,1,0,16,2.454427,1.0
3.3359375,2.123698,49,27,1,0,17,3.332031,2.0
3.3320312,2.1276042,42,27,1,0,18,3.332031,2.0
3.8841145,1.5755209,61,37,1,0,19,3.332031,2.0
3.9973958,1.4622396,58,47,1,0,20,3.332031,2.0
3.7408855,1.71875,66,41,1,0,21,3.332031,2.0
4.3450522,1.1145834,58,41,1,0,22,4.231771,3.0
4.4934897,0.9661458,61,44,1,0,23,4.231771,3.0
4.153646,1.3059896,70,62,1,0,24,3.332031,2.0
4.231771,1.2278646,49,31,1,0,25,4.231771,3.0
4.825521,0.63411456,61,43,1,0,26,4.231771,3.0
4.2604165,1.1992188,42,32,1,0,27,4.231771,3.0
4.9960938,0.46354166,58,39,1,0,28,4.231771,3.0
4.6458335,0.97265625,66,43,1,0,29,4.231771,3.0
5.6875,3.8046875,58,37,1,0,30,5.320312,4.0
5.890625,3.6015625,63,40,1,0,31,5.320312,4.0
6.0611978,3.4309895,66,44,1,0,32,5.320312,4.0
6.2330728,3.2591145,63,38,1,0,33,5.320312,4.0
6.3541665,3.1380208,58,40,1,0,34,5.320312,4.0
6.4986978,2.9934895,63,41,1,0,35,5.320312,4.0
5.34375,4.1484375,70,57,1,0,36,5.320312,4.0
6.638021,2.8541667,58,29,1,0,37,6.498698,5.0
6.78125,2.7109375,63,44,1,0,38,6.498698,5.0
6.9609375,2.53125,66,32,1,0,39,6.498698,5.0
7.0846353,2.407552,63,36,1,0,40,6.498698,5.0
7.2265625,2.265625,58,32,1,0,41,6.498698,5.0
7.544271,1.9479166,54,29,1,0,42,7.38151,6.0
7.7018228,1.7903646,58,28,1,0,43,7.38151,6.0
7.8229165,1.6692709,63,41,1,0,44,7.38151,6.0
7.9791665,1.5130209,58,39,1,0,45,7.38151,6.0
8.131511,1.3606771,54,25,1,0,46,7.38151,6.0
8.272136,1.2200521,58,33,1,0,47,8.272135,7.0
7.3815103,2.110677,66,55,1,0,48,7.38151,6.0
8.410156,1.0820312,54,30,1,0,49,8.272135,7.0
5.296875,4.1953125,51,35,1,0,50,4.231771,3.0
8.540364,0.95182294,58,37,1,0,51,8.272135,7.0
5.3203125,4.171875,39,33,1,0,52,5.320312,4.0
8.7109375,0.78125,63,40,1,0,53,8.272135,7.0
8.855469,0.63671875,58,43,1,0,54,8.272135,7.0
9.058594,0.43359375,54,32,1,0,55,8.272135,7.0
9.8776045,1.5364584,59,34,1,0,56,9.386719,8.0
10.019531,1.3945312,63,43,1,0,57,9.386719,8.0
10.1536455,1.2604166,59,40,1,0,58,9.386719,8.0
10.4609375,0.953125,59,38,1,0,59,9.386719,8.0
10.572917,0.8411458,56,42,1,0,60,10.460938,9.0
9.3307295,2.0833333,68,62,1,0,61,8.272135,7.0
9.3880205,2.0260417,35,38,1,0,62,9.386719,8.0
10.751302,0.66276044,59,33,1,0,63,10.460938,9.0
9.386719,2.0273438,47,37,1,0,64,9.386719,8.0
10.9088545,0.5052083,63,41,1,0,65,10.460938,9.0
11.098958,0.31510416,59,17,1,0,66,10.460938,9.0
11.2057295,0.20833333,56,33,1,0,67,10.460938,9.0
11.425781,1.96875,66,51,1,0,68,10.460938,9.0
11.608073,1.7864584,56,33,1,0,69,11.432292,10.0
11.7786455,1.6158854,59,34,1,0,70,11.432292,10.0
12.055989,1.3385416,56,47,1,0,71,11.432292,10.0
11.901042,1.4934896,65,59,1,0,72,11.432292,10.0
12.183594,1.2109375,59,47,1,0,73,11.432292,10.0
11.432292,1.9622396,49,33,1,0,74,11.432292,10.0
12.46875,0.92578125,56,45,1,0,75,12.335938,11.0
12.3359375,1.0585938,63,63,1,0,76,11.432292,10.0
11.446614,1.9479166,37,29,1,0,77,11.432292,10.0
12.604167,0.79036456,59,56,1,0,78,12.335938,11.0
12.854167,0.54036456,49,37,1,0,79,12.335938,11.0
12.9375,0.45703125,53,45,1,0,80,12.335938,11.0
13.09375,0.30078125,56,44,1,0,81,12.335938,11.0
12.847656,0.546875,47,38,1,0,82,12.335938,11.0
12.786458,0.60807294,61,66,1,0,83,12.335938,11.0
13.644531,0.64973956,58,45,1,0,84,13.326823,12.0
13.5026045,0.7916667,54,45,1,0,85,13.326823,12.0
13.307292,0.9869792,66,63,1,0,86,12.335938,11.0
13.7890625,0.5052083,61,53,1,0,87,13.326823,12.0
13.938802,0.35546875,58,47,1,0,88,13.326823,12.0
14.0546875,0.23958333,54,50,1,0,89,13.326823,12.0
13.326823,0.96744794,49,39,1,0,90,13.326823,12.0
13.334636,0.97265625,46,41,1,0,91,13.326823,12.0
14.2630205,1.1901041,70,63,1,0,92,13.326823,12.0
14.6380205,0.8151042,63,41,1,0,93,14.272135,13.0
14.4869795,0.9661458,60,42,1,0,94,14.272135,13.0
14.272136,1.1809896,51,40,1,0,95,14.272135,13.0
14.2942705,1.1588541,42,34,1,0,96,14.272135,13.0
14.798177,0.65494794,66,49,1,0,97,14.272135,13.0
15.0,0.453125,63,51,1,0,98,14.272135,13.0
15.1953125,0.2578125,60,46,1,0,99,14.272135,13.0
15.542969,2.4726562,53,34,1,0,100,15.378256,14.0
15.9817705,2.0338542,56,42,1,0,101,15.378256,14.0
15.511719,2.5039062,68,59,1,0,102,15.378256,14.0
16.138021,1.8776041,61,41,1,0,103,15.378256,14.0
16.334635,1.6809896,65,23,1,0,104,15.378256,14.0
16.432291,1.5833334,61,34,1,0,105,15.378256,14.0
16.592447,1.4231771,56,38,1,0,106,15.378256,14.0
16.742188,1.2734375,61,48,1,0,107,16.742188,15.0
16.889322,1.1263021,56,33,1,0,108,16.742188,15.0
17.018229,0.9973958,61,39,1,0,109,16.742188,15.0
17.200521,0.8151042,69,60,1,0,110,16.742188,15.0
17.266928,0.74869794,65,37,1,0,111,16.742188,15.0
15.244792,2.7708333,37,37,1,0,112,14.272135,13.0
17.397135,0.61848956,61,40,1,0,113,16.742188,15.0
17.59375,0.421875,57,42,1,0,114,16.742188,15.0
18.330729,3.7252605,58,18,1,0,115,17.971354,16.0
18.46224,3.59375,61,34,1,0,116,17.971354,16.0
18.611979,3.4440105,66,42,1,0,117,17.971354,16.0
18.799479,3.2565105,61,35,1,0,118,17.971354,16.0
18.942709,3.1132812,58,16,1,0,119,17.971354,16.0
19.049479,3.0065105,61,37,1,0,120,19.049479,17.0
19.182291,2.873698,58,30,1,0,121,19.049479,17.0
19.313803,2.7421875,61,42,1,0,122,19.049479,17.0
17.933594,4.122396,70,59,1,0,123,16.742188,15.0
17.971354,4.0846353,42,29,1,0,124,17.971354,16.0
17.980469,4.075521,49,30,1,0,125,17.971354,16.0
19.609375,2.4466145,61,41,1,0,126,19.049479,17.0
19.748697,2.3072917,58,40,1,0,127,19.049479,17.0
19.471354,2.5846355,66,41,1,0,128,19.049479,17.0
20.06901,1.9869791,58,43,1,0,129,19.933594,18.0
20.217447,1.8385416,61,39,1,0,130,19.933594,18.0
19.888021,2.1679688,70,66,1,0,131,19.049479,17.0
19.963541,2.092448,42,30,1,0,132,19.933594,18.0
19.933594,2.1223958,49,35,1,0,133,19.933594,18.0
20.360678,1.6953125,66,46,1,0,134,19.933594,18.0
20.5,1.5559896,61,50,1,0,135,19.933594,18.0
20.636719,1.4192709,58,45,1,0,136,19.933594,18.0
20.96224,1.09375,58,47,1,0,137,20.84375,19.0
21.119791,0.93619794,61,45,1,0,138,20.84375,19.0
20.792969,1.2630209,70,72,1,0,139,19.933594,18.0
20.84375,1.2122396,49,36,1,0,140,20.84375,19.0
