xml_id	midi_id	track	channel	pitch	onset
n25	9	1	0	42	1.0416666666666665
n26	8	1	0	49	1.0458333333333332
n4	1	1	0	58	1.5541666666666665
n8	4	1	0	58	2.2197916666666666
n10	7	1	0	58	2.5208333333333335
n14	13	1	0	58	3.0833333333333326
n15	16	1	0	58	3.4312499999999995
n5	0	1	0	61	1.7249999999999999
n7	2	1	0	61	2.0927083333333334
n9	5	1	0	61	2.3583333333333334
n11	6	1	0	61	2.6104166666666666
n13	11	1	0	61	2.954166666666666
n6	3	1	0	66	1.915625
n12	12	1	0	66	2.8031249999999996
n1	10	1	0	70	1.0177083333333332
n27	17	1	0	42	3.2885416666666663
n28	15	1	0	49	3.3031249999999996
n19	21	1	0	58	4.006249999999999
n16	14	1	0	61	3.597916666666666
n18	20	1	0	61	3.858333333333332
n17	18	1	0	66	3.7427083333333324
n2	19	1	0	70	3.2552083333333326
n29	22	1	0	42	4.178124999999999
n30	24	1	0	49	4.180208333333332
n20	25	1	0	58	4.298958333333332
n24	29	1	0	58	4.914583333333333
n21	23	1	0	61	4.460416666666665
n23	27	1	0	61	4.758333333333333
n22	28	1	0	66	4.623958333333333
n3	26	1	0	70	4.126041666666666
n55	49	1	0	39	5.279166666666667
n56	48	1	0	51	5.269791666666666
n33	31	1	0	58	5.616666666666665
n37	34	1	0	58	6.196874999999996
n34	30	1	0	63	5.774999999999998
n36	33	1	0	63	6.058333333333329
n35	32	1	0	66	5.921874999999996
n31	38	1	0	70	5.288541666666667
n39	37	1	0	58	6.443749999999996
n43	41	1	0	58	6.990624999999995
n38	35	1	0	63	6.355208333333329
n40	36	1	0	63	6.586458333333329
n42	40	1	0	63	6.884374999999996
n41	39	1	0	66	6.742708333333329
n44	43	1	0	54	7.437499999999996
n48	46	1	0	54	7.966666666666662
n45	42	1	0	58	7.562499999999996
n47	44	1	0	58	7.832291666666662
n46	45	1	0	63	7.711458333333328
n32	52	1	0	66	7.193749999999995
n50	51	1	0	54	8.25833333333333
n54	54	1	0	54	8.905208333333329
n49	47	1	0	58	8.116666666666664
n51	50	1	0	58	8.387499999999996
n53	55	1	0	58	8.745833333333328
n52	53	1	0	63	8.562499999999995
n83	63	1	0	35	9.254166666666665
n84	65	1	0	47	9.221874999999997
n64	57	1	0	56	9.469791666666666
n68	60	1	0	56	10.039583333333333
n70	62	1	0	56	10.274999999999999
n65	56	1	0	59	9.616666666666665
n67	58	1	0	59	9.90625
n66	59	1	0	63	9.753125
n59	66	1	0	68	9.242708333333331
n74	69	1	0	56	10.910416666666665
n69	61	1	0	59	10.16875
n71	64	1	0	59	10.419791666666665
n73	68	1	0	59	10.765624999999998
n72	67	1	0	63	10.586458333333331
n85	75	1	0	37	11.149999999999997
n86	76	1	0	49	11.118749999999997
n75	71	1	0	56	11.425
n77	73	1	0	56	11.768750000000002
n76	72	1	0	59	11.539583333333335
n78	74	1	0	59	11.900000000000002
n61	78	1	0	65	11.639583333333336
n60	70	1	0	66	11.20208333333333
n87	82	1	0	47	12.47291666666667
n88	81	1	0	49	12.459375000000003
n81	83	1	0	53	12.611458333333339
n79	77	1	0	56	12.173958333333337
n82	84	1	0	56	12.75729166666667
n80	79	1	0	59	12.277083333333335
n63	85	1	0	61	12.445833333333336
n62	80	1	0	63	12.03229166666667
n114	93	1	0	46	12.94166666666667
n115	88	1	0	49	12.89479166666667
n93	86	1	0	54	13.13854166666667
n97	92	1	0	54	13.714583333333342
n94	87	1	0	58	13.278125000000005
n96	91	1	0	58	13.586458333333342
n95	90	1	0	61	13.422916666666675
n89	89	1	0	66	12.987500000000002
n116	96	1	0	42	14.043750000000008
n117	95	1	0	51	14.032291666666675
n98	97	1	0	60	14.357291666666674
n102	101	1	0	60	14.996875000000008
n99	94	1	0	63	14.500000000000009
n101	100	1	0	63	14.820833333333342
n100	98	1	0	66	14.656250000000009
n90	99	1	0	70	14.097916666666675
n118	102	1	0	37	15.22395833333334
n119	112	1	0	53	15.855208333333342
