xml_id	midi_id	track	channel	pitch	onset
n25	2	0	0	42	0.5275101562500001
n26	4	0	0	49	0.52350375
n4	0	0	0	58	0.8159714062500001
n8	5	0	0	58	1.2166120312500002
n10	8	0	0	58	1.4356289062499998
n14	11	0	0	58	1.81223109375
n5	1	0	0	61	0.945511875
n7	3	0	0	61	1.1084390625
n9	7	0	0	61	1.29406921875
n11	9	0	0	61	1.4850412499999999
n13	12	0	0	61	1.70806453125
n6	6	0	0	66	0.9962596875
n12	13	0	0	66	1.58787234375
n1	10	0	0	70	0.5368584375000001
n27	16	0	0	42	1.9364296875
n28	18	0	0	49	1.93242328125
n15	15	0	0	58	2.0766539062500002
n19	20	0	0	58	2.409185624999999
n16	14	0	0	61	2.15678203125
n18	19	0	0	61	2.3464185937499993
n17	21	0	0	66	2.23423921875
n2	17	0	0	70	1.9244104687499999
n29	22	0	0	42	2.5534162499999993
n30	23	0	0	49	2.5614290624999994
n20	24	0	0	58	2.7123370312499993
n24	28	0	0	58	3.055552499999999
n21	25	0	0	61	2.789794218749999
n23	27	0	0	61	2.9567278124999987
n22	29	0	0	66	2.872593281249999
n3	26	0	0	70	2.5560871874999993
n55	43	0	0	39	3.2211506249999986
n56	40	0	0	51	3.2064604687499987
n33	30	0	0	58	3.4668768749999987
n37	34	0	0	58	3.824782499999998
n34	31	0	0	63	3.5523468749999987
n36	33	0	0	63	3.7366415624999982
n35	32	0	0	66	3.660519843749998
n31	37	0	0	70	3.270562968749999
n39	36	0	0	58	4.019760937499997
n43	41	0	0	58	4.401704999999998
n38	35	0	0	63	3.924942656249998
n40	38	0	0	63	4.113243749999998
n42	42	0	0	63	4.338937968749998
n41	39	0	0	66	4.208062031249998
n44	44	0	0	54	4.728894843749998
n48	48	0	0	54	5.085464999999999
n45	45	0	0	58	4.790326406249998
n47	47	0	0	58	4.9652728124999985
n46	46	0	0	63	4.882473749999998
n32	52	0	0	66	4.520561718749998
n50	50	0	0	54	5.2644178125
n54	54	0	0	54	5.69310328125
n49	49	0	0	58	5.181618749999999
n51	51	0	0	58	5.37392625
n53	53	0	0	58	5.590272187499999
n52	55	0	0	63	5.4780928125
n83	59	0	0	35	5.8493531249999995
n84	58	0	0	47	5.83733390625
n64	56	0	0	56	6.077718281250001
n68	62	0	0	56	6.462333281250002
n65	57	0	0	59	6.188562187500002
n67	61	0	0	59	6.370185937500002
n66	60	0	0	63	6.271361250000003
n59	65	0	0	68	5.889417187499999
n70	64	0	0	56	6.670666406250001
n74	67	0	0	56	7.01788828125
n69	63	0	0	59	6.5678353125000015
n71	66	0	0	59	6.780174843750001
n73	deletion
n72	68	0	0	63	6.845612812500001
n85	70	0	0	37	7.14609328125
n86	74	0	0	49	7.15143515625
n75	69	0	0	56	7.331723437499999
n77	72	0	0	56	7.68028078125
n76	71	0	0	59	7.41318703125
n78	73	0	0	59	7.7604089062499995
n61	79	0	0	65	7.5080053125
n60	78	0	0	66	7.18615734375
n87	83	0	0	47	8.15837859375
n88	80	0	0	49	8.127662812499999
n81	81	0	0	53	8.274564375
n79	76	0	0	56	7.971412968749999
n82	82	0	0	56	8.361369843750001
n80	77	0	0	59	8.04352828125
n63	84	0	0	61	8.141017499999998
n62	75	0	0	63	7.836530624999999
n114	91	0	0	46	8.478891093750004
n115	88	0	0	49	8.449510781250003
n93	85	0	0	54	8.677875937500005
n97	90	0	0	54	8.990375625000006
n94	86	0	0	58	8.755333125000005
n96	89	0	0	58	8.907576562500005
n95	87	0	0	61	8.848815937500003
n89	92	0	0	66	8.501594062500004
n116	95	0	0	42	9.170663906250004
n117	94	0	0	51	9.165322031250005
n98	93	0	0	60	9.357629531250007
n102	100	0	0	60	9.72888984375001
n99	97	0	0	63	9.456454218750007
n101	99	0	0	63	9.62338781250001
n100	98	0	0	66	9.531240468750008
n90	96	0	0	70	9.194702343750004
n118	101	0	0	37	9.862436718750011
n119	108	0	0	53	10.217671406250016
n103	deletion
n107	104	0	0	56	10.583589843750016
n104	102	0	0	61	10.328515312500016
n106	103	0	0	61	10.490107031250016
n105	105	0	0	65	10.424669062500016
n91	109	0	0	68	9.92520375000001
n109	107	0	0	56	10.814625937500017
n113	112	0	0	57	11.390212968750017
n108	106	0	0	61	10.686420937500015
n110	110	0	0	61	10.904102343750017
n112	113	0	0	61	11.231292187500017
n111	114	0	0	65	11.105758125000017
n92	111	0	0	69	11.071035937500017
n144	117	0	0	42	11.614571718750017
n145	118	0	0	49	11.606558906250017
n123	115	0	0	58	11.89635562500002
n127	121	0	0	58	12.251590312500017
n129	123	0	0	58	12.453246093750016
n124	116	0	0	61	11.979154687500019
n126	119	0	0	61	12.15944296875002
n125	120	0	0	66	12.07530843750002
n120	125	0	0	70	11.651964843750017
n133	126	0	0	58	12.840532031250014
n128	122	0	0	61	12.362434218750016
n130	124	0	0	61	12.568096406250016
n132	127	0	0	61	12.756397500000014
n131	128	0	0	66	12.654901875000014
n146	132	0	0	42	12.966066093750014
n147	133	0	0	49	12.955382343750014
n134	129	0	0	58	13.154367187500016
n138	135	0	0	58	13.49357625000002
n135	130	0	0	61	13.233159843750018
n137	134	0	0	61	13.40677078125002
n136	136	0	0	66	13.318629843750019
n121	131	0	0	70	12.991440000000013
n148	139	0	0	42	13.591065468750019
n149	137	0	0	49	13.616439375000018
n139	138	0	0	58	13.745979843750018
n143	143	0	0	58	14.110562812500017
n140	140	0	0	61	13.851481875000017
n142	142	0	0	61	14.021086406250017
n141	144	0	0	66	13.932945468750017
n122	141	0	0	70	13.612432968750019
n174	151	0	0	39	14.277496406250018
n175	155	0	0	51	14.270819062500017
n153	145	0	0	58	14.531235468750022
n157	149	0	0	58	14.930540625000026
n154	146	0	0	63	14.655434062500023
n156	148	0	0	63	14.849077031250024
n155	147	0	0	66	14.750252343750024
n150	154	0	0	70	14.349611718750019
n159	152	0	0	58	15.145551093750026
n163	157	0	0	58	15.487431093750024
n158	150	0	0	63	15.013339687500025
n160	153	0	0	63	15.197634375000026
n162	158	0	0	63	15.393948281250024
n161	156	0	0	66	15.280433437500026
n164	159	0	0	54	15.793253437500026
n168	162	0	0	54	16.097740312500026
n165	160	0	0	58	15.861362343750026
n167	165	0	0	58	16.483690781250026
n166	163	0	0	63	15.937484062500026
n151	161	0	0	66	15.618307031250025
n178	169	0	0	34	16.251319218750023
n179	168	0	0	46	16.228616250000023
n169	164	0	0	53	16.386201562500023
n173	170	0	0	53	16.756126406250026
n170	deletion
n172	deletion
n171	167	0	0	62	16.559812500000024
n152	166	0	0	65	16.251319218750023
n204	176	0	0	35	16.864299375000027
n205	175	0	0	47	16.861628437500027
n186	172	0	0	51	17.036574843750028
n190	179	0	0	51	17.36510015625003
n187	173	0	0	54	17.11670296875003
n189	178	0	0	54	17.294320312500027
n188	177	0	0	59	17.18080546875003
n180	174	0	0	63	16.880325000000028
n206	181	0	0	32	17.483956875000032
n207	183	0	0	44	17.505324375000033
n191	180	0	0	56	17.673593437500035
n195	187	0	0	56	18.018144375000034
n192	184	0	0	59	17.757727968750036
n194	186	0	0	59	17.931338906250033
n193	185	0	0	63	17.852546250000035
n181	182	0	0	68	17.503988906250033
n208	201	0	0	37	18.145013906250036
n209	195	0	0	49	18.142342968750036
n197	189	0	0	56	18.38539828125004
n199	192	0	0	56	18.727278281250037
n196	188	0	0	59	18.311947500000038
n198	191	0	0	59	18.637801875000036
n183	193	0	0	65	18.474874687500037
n182	190	0	0	66	18.139672031250036
n201	196	0	0	56	19.01440406250004
n203	200	0	0	56	19.346935781250043
n200	194	0	0	59	18.93828234375004
n202	198	0	0	59	19.265472187500045
n184	197	0	0	63	18.807406406250042
n185	199	0	0	65	19.133260781250044
n234	218	0	0	42	19.53523687500004
n235	216	0	0	49	19.532565937500042
n212	202	0	0	59	19.767608437500048
n216	206	0	0	59	20.137533281250047
n213	203	0	0	61	19.866433125000047
n215	204	0	0	61	20.061411562500048
n214	205	0	0	65	19.971935156250048
n210	210	0	0	68	19.53657234375004
n218	208	0	0	59	20.333847187500044
n222	213	0	0	59	20.759861718750045
n217	207	0	0	61	20.264402812500045
n219	209	0	0	61	20.446026562500045
n221	212	0	0	61	20.675727187500044
n220	211	0	0	65	20.535502968750045
n223	214	0	0	54	21.12177375000005
n227	220	0	0	54	21.47700843750005
n224	215	0	0	58	21.199230937500047
n226	219	0	0	58	21.363493593750047
n225	217	0	0	61	21.315416718750047
n211	226	0	0	66	20.909434218750047
n229	223	0	0	54	21.67599328125005
n233	225	0	0	54	22.111356093750054
n228	221	0	0	58	21.577168593750052
n230	222	0	0	58	21.78416625000005
n232	deletion
n231	224	0	0	61	21.903022968750054
n262	239	0	0	49	22.378449843750055
n263	233	0	0	53	22.363759687500053
n240	227	0	0	56	22.62551156250006
n244	231	0	0	56	22.975404375000057
n246	234	0	0	56	23.16103453125006
n241	228	0	0	61	22.70163328125006
n243	230	0	0	61	22.86856687500006
n242	229	0	0	65	22.82182546875006
n238	236	0	0	68	22.381120781250054
n250	238	0	0	56	23.505585468750063
n245	232	0	0	61	23.07422906250006
n247	235	0	0	61	23.24249812500006
n249	237	0	0	61	23.416109062500063
n248	240	0	0	65	23.345329218750063
n264	248	0	0	46	23.62978406250006
n265	246	0	0	51	23.62577765625006
n266	244	0	0	55	23.620435781250062
n251	241	0	0	61	23.87951671875006
n255	247	0	0	61	24.22139671875006
n252	242	0	0	63	23.95029656250006
n254	245	0	0	63	24.143939531250062
n253	243	0	0	67	24.051792187500062
n239	252	0	0	70	23.68453828125006
n257	251	0	0	61	24.40034953125006
n261	253	0	0	61	24.79431281250006
n256	249	0	0	63	24.325563281250062
n258	250	0	0	63	24.50050968750006
n260	255	0	0	63	24.691481718750058
n259	254	0	0	67	24.58865062500006
n292	271	0	0	44	24.987955781250058
n293	272	0	0	51	24.963917343750058
n294	270	0	0	56	24.95857546875006
n270	259	0	0	61	25.62497437500006
n274	262	0	0	61	25.82663015625006
n276	265	0	0	61	26.227270781250063
n271	256	0	0	63	25.33117125000006
n273	258	0	0	63	25.530156093750062
n272	261	0	0	68	25.471395468750064
n267	257	0	0	73	25.058735625000054
n280	deletion
n275	260	0	0	63	25.751843906250063
n277	263	0	0	63	25.91610656250006
n279	266	0	0	63	26.14580718750006
n278	267	0	0	68	26.02695046875006
n268	264	0	0	71	25.99890562500006
n295	deletion
n296	deletion
n297	deletion
n281	268	0	0	59	26.574492656250065
n285	275	0	0	59	26.948423906250063
n282	269	0	0	63	26.670646406250068
n284	274	0	0	63	26.886992343750066
n283	273	0	0	68	26.784161250000068
n269	279	0	0	71	26.391533437500065
n287	277	0	0	59	27.17144718750006
n291	281	0	0	59	27.56541046875006
n286	276	0	0	63	27.045913125000062
n288	278	0	0	63	27.24489796875006
n290	280	0	0	63	27.45056015625006
n289	282	0	0	68	27.35574187500006
n322	296	0	0	52	27.76038890625006
n323	290	0	0	56	27.74836968750006
n301	283	0	0	59	27.954031875000062
n305	287	0	0	59	28.33063406250006
n302	284	0	0	64	28.055527500000064
