xml_id	midi_id	track	channel	pitch	onset
n25	7	1	0	42	0.9505208333333333
n26	6	1	0	49	0.9570312499999999
n4	0	1	0	58	1.31640625
n10	5	1	0	58	2.033854166666667
n14	11	1	0	58	2.489583333333335
n15	13	1	0	58	2.8307291666666683
n8	deletion
n5	1	1	0	61	1.46875
n7	3	1	0	61	1.6770833333333333
n9	4	1	0	61	1.9283854166666667
n11	8	1	0	61	2.1432291666666674
n13	12	1	0	61	2.3294270833333344
n6	2	1	0	66	1.6067708333333333
n12	10	1	0	66	2.214843750000001
n1	9	1	0	70	0.9192708333333333
n27	15	1	0	42	2.6484375000000013
n28	14	1	0	49	2.6484375000000013
n19	18	1	0	58	3.2539062500000013
n16	16	1	0	61	2.9166666666666683
n18	19	1	0	61	3.147135416666668
n17	20	1	0	66	3.0585937500000013
n2	17	1	0	70	2.6367187500000013
n29	23	1	0	42	3.4361979166666683
n30	22	1	0	49	3.4179687500000013
n20	21	1	0	58	3.6015625000000018
n24	27	1	0	58	4.076822916666668
n21	24	1	0	61	3.6575520833333353
n23	28	1	0	61	3.9140625000000018
n22	26	1	0	66	3.7955729166666687
n3	25	1	0	70	3.3710937500000013
n55	45	1	0	39	4.230468750000002
n56	43	1	0	51	4.248697916666669
n33	29	1	0	58	4.466145833333336
n37	33	1	0	58	4.997395833333335
n36	30	1	0	63	4.645833333333336
n38	32	1	0	63	4.863281250000001
n34	deletion
n35	31	1	0	66	4.783854166666668
n31	36	1	0	70	4.212239583333335
n39	34	1	0	58	5.212239583333334
n43	39	1	0	58	5.635416666666666
n40	35	1	0	63	5.287760416666667
n42	38	1	0	63	5.510416666666666
n41	37	1	0	66	5.420572916666666
n44	40	1	0	54	5.964843749999999
n48	46	1	0	54	6.425781249999999
n45	41	1	0	58	6.075520833333333
n47	44	1	0	58	6.295572916666666
n46	42	1	0	63	6.178385416666667
n32	50	1	0	66	5.770833333333333
n50	48	1	0	54	6.669270833333332
n54	53	1	0	54	7.122395833333332
n49	47	1	0	58	6.545572916666665
n51	49	1	0	58	6.748697916666666
n53	52	1	0	58	6.966145833333332
n52	51	1	0	63	6.874999999999999
n83	59	1	0	35	7.289062499999999
n84	61	1	0	47	7.291666666666666
n64	54	1	0	56	7.445312499999999
n68	57	1	0	56	7.953124999999999
n65	55	1	0	59	7.576822916666665
n67	58	1	0	59	7.799479166666665
n66	56	1	0	63	7.716145833333332
n59	64	1	0	68	7.278645833333332
n70	62	1	0	56	8.173177083333334
n74	66	1	0	56	8.623697916666666
n69	60	1	0	59	8.03125
n71	63	1	0	59	8.272135416666668
n73	67	1	0	59	8.540364583333334
n72	65	1	0	63	8.399739583333334
n85	73	1	0	37	8.774739583333332
n86	75	1	0	49	8.764322916666666
n75	69	1	0	56	8.94270833333333
n77	71	1	0	56	9.286458333333334
n76	70	1	0	59	9.010416666666664
n78	72	1	0	59	9.391927083333334
n61	76	1	0	65	9.153645833333332
n60	68	1	0	66	8.748697916666666
n87	80	1	0	47	9.942708333333336
n88	79	1	0	49	9.954427083333336
n81	81	1	0	53	10.10807291666667
n79	77	1	0	56	9.678385416666668
n82	82	1	0	56	10.28776041666667
n80	78	1	0	59	9.778645833333334
n63	83	1	0	61	9.937500000000002
n62	74	1	0	63	9.524739583333334
n114	89	1	0	46	10.424479166666668
n115	87	1	0	49	10.437500000000002
n93	84	1	0	54	10.615885416666668
n97	91	1	0	54	11.041666666666671
n94	85	1	0	58	10.717447916666668
n96	90	1	0	58	10.94791666666667
n95	88	1	0	61	10.85416666666667
n89	86	1	0	66	10.424479166666668
n116	95	1	0	42	11.256510416666671
n117	94	1	0	51	11.252604166666671
n98	92	1	0	60	11.432291666666673
n102	100	1	0	60	11.946614583333341
n99	93	1	0	63	11.549479166666675
n101	98	1	0	63	11.816406250000009
n100	97	1	0	66	11.684895833333341
n90	96	1	0	70	11.255208333333337
n118	99	1	0	37	12.039062500000007
n119	110	1	0	53	12.406250000000009
n103	101	1	0	56	12.67578125000001
