xml_id	midi_id	track	channel	pitch	onset
n13	0	1	0	44	1.0291666666666666
n14	21	1	0	56	1.7437499999999995
n15	18	1	0	59	1.7531249999999994
n16	13	1	0	63	1.7302083333333327
n8	8	1	0	75	2.0020833333333328
n11	11	1	0	75	2.276041666666666
n4	4	1	0	80	1.6031249999999995
n5	5	1	0	80	1.7374999999999994
n7	7	1	0	80	1.9468749999999995
n1	1	1	0	83	1.1322916666666665
n3	3	1	0	83	1.495833333333333
n6	6	1	0	83	1.8291666666666662
n2	2	1	0	87	1.3718749999999997
n12	12	1	0	71	2.3510416666666663
n9	9	1	0	75	2.104166666666666
n10	10	1	0	80	2.211458333333333
n20	17	1	0	68	2.6791666666666667
n17	14	1	0	71	2.4447916666666663
n19	16	1	0	71	2.6020833333333333
n18	15	1	0	75	2.5260416666666665
n24	22	1	0	63	3.029166666666667
n23	20	1	0	68	2.95625
n21	deletion
n22	19	1	0	71	2.859375
n31	26	1	0	51	3.208333333333334
n32	27	1	0	58	3.2447916666666674
n25	23	1	0	67	3.217708333333334
n26	25	1	0	70	3.198958333333334
n47	29	1	0	44	3.791666666666666
n38	32	1	0	80	4.188541666666666
n39	33	1	0	80	4.307291666666666
n35	28	1	0	83	3.880208333333333
n37	31	1	0	83	4.121874999999999
n36	30	1	0	87	3.998958333333333
n50	41	1	0	63	4.283333333333332
n42	36	1	0	75	4.553125
n43	37	1	0	75	4.642708333333332
n41	35	1	0	80	4.484375
n40	34	1	0	83	4.398958333333334
n46	40	1	0	71	4.8875
n45	39	1	0	75	4.820833333333333
n44	38	1	0	80	4.727083333333333
n54	45	1	0	68	5.214583333333331
n51	42	1	0	71	4.984374999999999
n53	44	1	0	71	5.152083333333332
n52	43	1	0	75	5.062499999999999
n58	51	1	0	63	5.55833333333333
n55	47	1	0	68	5.298958333333331
n57	50	1	0	68	5.521874999999997
n56	48	1	0	71	5.386458333333332
n65	54	1	0	51	5.748958333333328
n66	56	1	0	58	5.741666666666662
n67	55	1	0	63	5.751041666666661
n59	52	1	0	67	5.730208333333328
n60	53	1	0	70	5.708333333333329
n77	61	1	0	56	6.204166666666656
n78	57	1	0	59	6.213541666666656
n79	58	1	0	63	6.213541666666656
n69	59	1	0	68	6.227083333333323
n70	60	1	0	71	6.1999999999999895
n80	65	1	0	51	6.665624999999985
n81	62	1	0	58	6.681249999999985
n82	63	1	0	64	6.694791666666652
n71	64	1	0	67	6.699999999999985
n72	67	1	0	70	6.685416666666652
n73	66	1	0	76	6.654166666666653
n83	72	1	0	51	7.124999999999981
n84	69	1	0	58	7.136458333333314
n85	71	1	0	64	7.132291666666648
n74	68	1	0	67	7.108333333333315
n75	73	1	0	70	7.14374999999998
n76	70	1	0	76	7.104166666666648
n95	77	1	0	51	7.6260416666666435
n96	76	1	0	58	7.621874999999977
n97	75	1	0	64	7.6260416666666435
n86	78	1	0	67	7.628124999999977
n87	79	1	0	70	7.621874999999977
n88	80	1	0	76	7.610416666666644
n98	83	1	0	51	8.088541666666641
n99	82	1	0	58	8.082291666666642
n100	81	1	0	63	8.124999999999975
n89	84	1	0	67	8.102083333333308
n90	85	1	0	70	8.112499999999974
n91	86	1	0	75	8.088541666666641
n101	92	1	0	51	8.761458333333312
n102	91	1	0	58	8.763541666666645
n103	88	1	0	61	8.759374999999979
n92	87	1	0	67	8.740624999999978
n93	89	1	0	70	8.742708333333312
n94	90	1	0	73	8.740624999999978
n116	94	1	0	44	9.602083333333319
n107	97	1	0	80	10.02187499999999
n110	100	1	0	80	10.32499999999999
n104	93	1	0	83	9.651041666666654
n106	96	1	0	83	9.944791666666658
n105	95	1	0	87	9.833333333333321
n117	116	1	0	56	10.139583333333324
n118	111	1	0	59	10.120833333333325
n119	107	1	0	63	10.124999999999991
n111	101	1	0	75	10.39687499999999
n112	102	1	0	75	10.486458333333324
n108	98	1	0	80	10.151041666666657
n109	99	1	0	83	10.227083333333324
n115	105	1	0	71	10.719791666666659
n114	104	1	0	75	10.656249999999991
n113	103	1	0	80	10.564583333333324
n123	110	1	0	68	11.042708333333326
n120	106	1	0	71	10.809374999999992
n122	109	1	0	71	10.983333333333325
n121	108	1	0	75	10.893749999999992
n127	115	1	0	63	11.399999999999999
n124	112	1	0	68	11.138541666666661
n126	114	1	0	68	11.33333333333333
n125	113	1	0	71	11.209374999999994
n134	120	1	0	51	11.552083333333334
n135	121	1	0	58	11.597916666666668
n136	117	1	0	63	11.604166666666668
n128	118	1	0	67	11.572916666666668
n129	119	1	0	70	11.563541666666667
n150	123	1	0	44	12.112500000000002
n141	126	1	0	80	12.463541666666671
n142	127	1	0	80	12.56458333333334
n138	122	1	0	83	12.185416666666669
n140	125	1	0	83	12.38229166666667
n139	124	1	0	87	12.287500000000003
n151	144	1	0	56	12.57395833333334
n152	140	1	0	59	12.553125000000007
n153	136	1	0	63	12.54583333333334
n145	130	1	0	75	12.803125000000007
n146	131	1	0	75	12.891666666666675
n144	129	1	0	80	12.73020833333334
n143	128	1	0	83	12.653125000000008
n149	134	1	0	71	13.131250000000007
n148	133	1	0	75	13.05520833333334
n147	132	1	0	80	12.97083333333334
n157	139	1	0	68	13.452083333333343
n154	135	1	0	71	13.228125000000007
