idx,matchtype,partid,ppartid
0,0,n23,21
1,0,n17,7
2,0,n11,6
3,0,n6,5
4,0,n5,4
5,0,n4,3
6,0,n3,2
7,0,n2,1
8,0,n1,0
9,0,n18,9
10,0,n20,12
11,0,n19,10
12,0,n12,8
13,0,n13,11
14,0,n14,13
15,0,n21,14
16,0,n22,15
17,0,n32,18
18,0,n24,19
19,0,n16,17
20,0,n15,16
21,0,n33,20
22,0,n34,22
23,0,n27,24
24,0,n26,23
25,0,n52,43
26,0,n46,30
27,0,n40,29
28,0,n31,28
29,0,n30,27
30,0,n29,26
31,0,n28,25
32,0,n47,34
33,0,n49,35
34,0,n48,32
35,0,n43,36
36,0,n41,31
37,0,n42,33
38,0,n57,41
39,0,n51,39
40,0,n50,37
41,0,n53,42
42,0,n45,40
43,0,n44,38
44,0,n60,54
45,0,n59,45
46,0,n61,47
47,0,n58,44
48,0,n54,46
49,1,n77,undefined
50,0,n62,48
51,0,n71,52
52,0,n63,51
53,0,n56,50
54,0,n55,49
55,0,n67,53
56,0,n78,76
57,0,n73,56
58,0,n74,58
59,0,n72,55
60,0,n68,57
61,1,n97,undefined
62,0,n75,59
63,0,n91,64
64,0,n76,62
65,0,n70,61
66,0,n69,60
67,0,n79,63
68,0,n80,65
69,0,n93,72
70,0,n94,73
71,0,n92,68
72,0,n81,66
73,0,n82,67
74,0,n83,69
75,0,n84,70
76,0,n85,71
77,0,n86,74
78,0,n96,80
79,0,n102,82
80,0,n95,78
81,0,n98,83
82,0,n87,75
83,0,n88,77
84,0,n89,79
85,0,n90,81
86,0,n104,85
87,0,n105,86
88,0,n103,84
89,0,n99,87
90,0,n106,88
91,0,n121,95
92,0,n107,90
93,0,n101,91
94,0,n110,94
95,0,n100,89
96,0,n109,92
97,0,n112,97
98,0,n114,99
99,0,n111,96
100,0,n113,98
101,0,n116,101
102,0,n115,100
103,0,n139,121
104,0,n133,107
105,0,n127,106
106,0,n120,105
107,0,n119,104
108,0,n118,103
109,0,n117,102
110,0,n134,109
111,0,n136,113
112,0,n135,111
113,0,n128,108
114,0,n129,110
115,0,n130,112
116,0,n137,114
117,0,n138,115
118,0,n148,118
119,0,n140,119
120,0,n132,117
121,0,n131,116
122,0,n149,120
123,0,n150,122
124,0,n143,124
125,0,n142,123
126,0,n168,132
127,0,n162,130
128,0,n156,129
129,0,n147,128
130,0,n146,127
131,0,n145,126
132,0,n144,125
133,0,n169,137
134,0,n163,133
135,0,n165,136
136,0,n164,135
137,0,n157,131
138,0,n158,134
139,0,n159,138
140,0,n180,145
141,0,n166,139
142,0,n174,144
143,0,n167,140
144,0,n160,141
145,0,n170,143
146,0,n161,142
147,0,n181,150
148,0,n175,146
149,0,n177,148
150,0,n176,147
151,0,n171,149
152,0,n195,157
153,0,n178,151
154,0,n189,155
155,0,n179,152
156,0,n172,153
157,0,n182,156
