xml_id	midi_id	track	channel	pitch	onset
n16	6	0	0	50	1.9711518749999997
n17	11	0	0	54	2.0032031249999998
n5	1	0	0	57	0.5381939062500001
n6	2	0	0	59	0.9521892187500002
n7	3	0	0	61	1.3488234374999997
n18	7	0	0	62	1.9751582812499997
n1	0	0	0	69	0.5141554687500001
n2	4	0	0	71	0.9161315625000002
n3	5	0	0	73	1.3421460937499996
n12	8	0	0	74	1.9671454687499996
n15	10	0	0	71	4.097218125
n14	9	0	0	73	3.8968978125000002
n23	13	0	0	49	4.4658074999999995
n24	14	0	0	52	4.461801093749999
n25	17	0	0	57	4.45111734375
n19	12	0	0	69	4.41906609375
n20	15	0	0	69	5.689096875000005
n22	18	0	0	67	6.410250000000005
n21	16	0	0	71	6.060357187500005
n36	21	0	0	50	6.816232500000007
n37	23	0	0	52	7.406509687500013
n31	19	0	0	54	6.826916250000007
n40	28	0	0	55	8.323976718750014
n32	deletion
n26	20	0	0	66	6.891018750000008
n27	22	0	0	67	7.403838750000014
n38	24	0	0	54	7.633539375000012
n33	25	0	0	57	7.616178281250013
n28	26	0	0	69	7.594810781250013
n39	27	0	0	52	8.341337812500013
n34	29	0	0	59	8.352021562500013
n35	31	0	0	61	8.695237031250015
n29	30	0	0	71	8.325312187500014
n30	32	0	0	73	8.699243437500014
n51	36	0	0	50	9.181347656250013
n54	35	0	0	52	9.204050625000013
n55	34	0	0	55	9.184018593750013
n56	33	0	0	61	9.163986562500014
n41	37	0	0	73	9.169328437500013
n57	38	0	0	54	9.99731906250002
n58	40	0	0	62	9.98529984375002
n48	42	0	0	62	10.500790781250025
n42	39	0	0	74	9.99064171875002
n43	41	0	0	74	10.456720312500025
n49	43	0	0	66	10.837328906250026
n50	45	0	0	69	11.215266562500027
n44	44	0	0	78	10.841335312500025
n45	46	0	0	81	11.209924687500028
n69	52	0	0	55	11.804208281250025
n70	50	0	0	57	11.816227500000025
n65	48	0	0	66	11.801537343750025
n61	47	0	0	78	11.788182656250026
n66	51	0	0	64	13.022155781250033
n62	49	0	0	76	12.996781875000034
n67	54	0	0	59	13.377390468750034
n68	56	0	0	61	13.709922187500034
n63	53	0	0	71	13.356022968750034
n64	55	0	0	73	13.691225625000035
n79	59	0	0	54	14.18134265625004
n80	58	0	0	57	14.18802000000004
n75	57	0	0	64	14.18802000000004
n71	60	0	0	76	14.15730421875004
n76	62	0	0	62	15.253724062500053
n72	61	0	0	74	15.247046718750052
n81	63	0	0	50	15.741170156250053
n82	66	0	0	52	16.248648281250055
n77	64	0	0	54	15.789247031250051
n78	deletion
n73	65	0	0	66	15.745176562500053
n74	67	0	0	67	16.255325625000054
n86	71	0	0	45	16.475677968750055
n87	70	0	0	54	16.471671562500056
n88	69	0	0	57	16.477013437500055
n83	68	0	0	69	16.438284843750054
n89	72	0	0	45	17.194160156250064
n90	74	0	0	52	17.212856718750064
n91	73	0	0	55	17.190153750000064
n84	75	0	0	67	17.178134531250066
n92	76	0	0	45	17.987428593750074
n93	77	0	0	49	17.987428593750074
n94	78	0	0	52	17.990099531250074
n85	79	0	0	64	17.955377343750076
n100	80	0	0	38	18.975675468750097
n101	83	0	0	50	19.007726718750096
n95	82	0	0	54	19.001049375000097
n96	81	0	0	62	18.954307968750097
n102	84	0	0	54	20.823964218750135
n97	85	0	0	66	20.821293281250135
n103	86	0	0	55	21.200566406250143
n104	88	0	0	57	21.53710453125015
n98	87	0	0	67	21.183205312500142
n99	89	0	0	69	21.54111093750015
n115	95	0	0	43	22.155426562500153
n116	98	0	0	50	22.17145218750015
n110	90	0	0	52	22.16744578125015
n111	93	0	0	59	22.17011671875015
n105	94	0	0	71	22.131388125000154
n112	91	0	0	52	23.255852812500166
n113	97	0	0	52	23.59239093750017
n106	92	0	0	64	23.226472500000167
n107	96	0	0	64	23.58037171875017
n123	104	0	0	44	24.529890000000176
n124	100	0	0	52	24.551257500000176
n120	102	0	0	62	24.551257500000176
n117	99	0	0	74	24.531225468750176
n121	101	0	0	52	25.64233546875018
n118	103	0	0	64	25.61829703125018
n122	106	0	0	52	26.004247500000176
n119	105	0	0	64	26.000241093750176
n138	109	0	0	45	26.899011562500174
n134	111	0	0	55	26.911030781250176
n130	108	0	0	64	26.991158906250174
n125	107	0	0	74	26.963114062500175
n135	112	0	0	54	28.167706875000178
n131	113	0	0	66	28.20777093750018
n126	110	0	0	73	27.74302781250018
n127	114	0	0	74	28.18640343750018
n136	119	0	0	52	28.534960781250177
n137	117	0	0	57	28.87951171875018
n133	120	0	0	64	28.915569375000178
n132	115	0	0	67	28.552321875000178
n129	118	0	0	73	28.88218265625018
n128	116	0	0	76	28.52427703125018
n144	123	0	0	50	29.26412671875018
n145	124	0	0	57	29.26679765625018
n142	121	0	0	66	29.28148781250018
n139	122	0	0	74	29.26412671875018
n140	125	0	0	78	30.046711406250186
n146	126	0	0	50	30.976197656250196
n147	129	0	0	57	30.952159218750193
n143	128	0	0	66	30.980204062500196
n141	127	0	0	69	30.948152812500194
n160	136	0	0	49	31.745427656250204
n161	132	0	0	57	31.769466093750204
n150	130	0	0	66	31.749434062500203
n151	131	0	0	69	31.728066562500207
n152	134	0	0	64	32.46791625000016
n154	135	0	0	66	32.75370656250013
n153	133	0	0	67	32.41983937500016
n155	138	0	0	69	32.74168734375013
n162	142	0	0	45	33.11027671875007
n163	139	0	0	57	33.12630234375007
n158	141	0	0	64	33.44280843750003
n156	137	0	0	67	33.11294765625007
n159	140	0	0	67	33.42411187500003
n157	143	0	0	71	33.083567343750076
n172	148	0	0	50	33.74462437499998
n173	144	0	0	57	33.76332093749998
n164	146	0	0	67	33.79537218749997
n165	145	0	0	69	33.769998281249975
n166	149	0	0	66	34.54724109374987
n167	150	0	0	74	34.52720906249987
n174	151	0	0	54	35.20429171874979
n175	152	0	0	55	35.51946234374979
n168	153	0	0	69	35.197614374999795
n169	154	0	0	71	35.51144953124979
n191	161	0	0	45	35.90140640624979
n187	158	0	0	55	35.87736796874979
n183	156	0	0	64	35.936128593749785
n178	155	0	0	74	35.91876749999979
n188	157	0	0	54	36.96978140624976
n184	160	0	0	66	37.02186468749976
n179	159	0	0	73	36.635914218749754
n180	162	0	0	74	37.00984546874976
n189	167	0	0	52	37.34237718749976
n190	165	0	0	57	37.64018671874972
n186	168	0	0	64	37.67490890624971
n185	163	0	0	67	37.346383593749756
n182	166	0	0	73	37.64552859374972
n181	164	0	0	76	37.31833874999976
n200	172	0	0	50	37.9940859374997
n197	171	0	0	57	38.02346624999969
n195	169	0	0	66	38.02213078124969
n192	170	0	0	74	38.002098749999696
n193	173	0	0	78	38.790025312499665
n201	176	0	0	49	39.539223281249654
n199	178	0	0	52	39.95989593749961
n198	174	0	0	57	39.55124249999965
n196	175	0	0	64	39.64606078124965
n194	177	0	0	69	39.61133859374965
n214	179	0	0	47	40.3471818749996
n211	182	0	0	54	40.364542968749596
n207	181	0	0	62	40.3551946874996
n202	180	0	0	69	40.3338271874996
n208	184	0	0	63	41.456956406249475
n203	183	0	0	68	41.080354218749534
n204	185	0	0	69	41.450279062499476
n215	187	0	0	40	41.866945312499425
n213	190	0	0	50	42.33302390624936
n212	186	0	0	52	41.84824874999943
n209	189	0	0	64	41.94306703124941
n210	192	0	0	68	42.33703031249936
n206	191	0	0	71	42.31299187499936
n205	188	0	0	73	41.90700937499942
n227	195	0	0	45	42.91395281249928
n223	194	0	0	49	42.91528828124928
n216	193	0	0	69	42.892585312499286
n220	deletion
n224	197	0	0	57	44.58595968749911
n217	196	0	0	69	44.567263124999116
n225	199	0	0	59	44.93718796874909
n226	200	0	0	61	45.29776453124905
n218	198	0	0	71	44.922497812499095
n219	201	0	0	73	45.277732499999054
n234	202	0	0	62	45.74915296874898
n230	204	0	0	74	45.76117218749898
n236	203	0	0	50	46.67196187499892
n237	206	0	0	54	46.67730374999892
n233	207	0	0	71	47.991404999998785
n232	205	0	0	73	47.796426562498795
n242	213	0	0	57	48.257163281248744
n238	208	0	0	69	48.255827812498744
n244	210	0	0	49	49.03974796874868
n245	212	0	0	52	49.015709531248675
n239	209	0	0	69	49.47243984374867
n241	214	0	0	67	50.18023828124859
n240	211	0	0	71	49.83969374999863
n256	217	0	0	50	50.538143906248585
n257	220	0	0	52	51.08034421874852
n251	215	0	0	54	50.52078281249859
n252	219	0	0	55	51.12307921874852
n246	216	0	0	66	50.55951140624858
n247	218	0	0	67	51.104382656248525
n258	221	0	0	54	51.32874140624849
n253	222	0	0	57	51.32206406249849
n248	223	0	0	69	51.290012812498496
n259	226	0	0	52	52.05390093749843
n260	224	0	0	55	52.088623124998435
