onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.51415545,0.5689097,69,48,0,0,0,-10.0,-10.0
0.5381939,0.5448713,57,29,0,0,1,-10.0,-10.0
0.9521892,1.4089196,59,34,0,0,2,0.9341605,-1.0
1.3488234,1.0122854,61,33,0,0,3,0.9341605,-1.0
0.91613156,1.4449772,71,59,0,0,4,-10.0,-10.0
1.342146,1.0189626,73,66,0,0,5,0.9341605,-1.0
1.9711518,2.8151681,50,39,0,0,6,0.9341605,-1.0
1.9751583,2.8111618,62,36,0,0,7,1.973155,0.0
1.9671454,2.8191745,74,64,0,0,8,0.9341605,-1.0
3.8968978,0.8894222,73,45,0,0,9,3.628691,2.0
4.097218,0.6891019,71,49,0,0,10,3.628691,2.0
2.0032032,2.7844524,54,34,0,0,11,1.973155,0.0
4.419066,2.624196,69,51,0,0,12,3.628691,2.0
4.4658074,2.5774548,49,24,0,0,13,4.456459,3.0
4.461801,2.5814612,52,27,0,0,14,4.456459,3.0
5.689097,1.3541653,69,45,0,0,15,5.258408,4.0
6.060357,0.982905,71,50,0,0,16,6.060357,5.0
4.4511175,2.6014931,57,34,0,0,17,3.628691,2.0
6.41025,0.6530442,67,59,0,0,18,6.060357,5.0
6.826916,0.9094542,54,25,0,0,19,6.8215747,6.0
6.891019,0.8453517,66,50,0,0,20,6.8215747,6.0
6.8162327,0.92013794,50,27,0,0,21,6.060357,5.0
7.4038386,0.33253172,67,55,0,0,22,6.8215747,6.0
7.40651,0.32986078,52,36,0,0,23,6.8215747,6.0
7.633539,0.8066231,54,40,0,0,24,7.616178,7.0
7.6161785,0.8239842,57,39,0,0,25,7.616178,7.0
7.594811,0.8453517,69,54,0,0,26,6.8215747,6.0
8.341338,1.0576912,52,40,0,0,27,8.333325,8.0
8.3239765,1.0750524,55,31,0,0,28,7.616178,7.0
8.352021,1.0470074,59,27,0,0,29,8.333325,8.0
8.325313,1.0737169,71,59,0,0,30,7.616178,7.0
8.695237,0.70379204,61,36,0,0,31,8.333325,8.0
8.699244,0.69978565,73,73,0,0,32,8.333325,8.0
9.163986,0.9188025,61,27,0,0,33,8.333325,8.0
9.184018,0.89877045,55,34,0,0,34,9.181348,9.0
9.204051,0.87873846,52,30,0,0,35,9.181348,9.0
9.181348,0.93749905,50,17,0,0,36,9.181348,9.0
9.169329,0.9815695,73,69,0,0,37,8.333325,8.0
9.997319,0.9081187,54,45,0,0,38,9.990642,10.0
9.990642,0.9147961,74,59,0,0,39,9.990642,10.0
9.9853,0.92013794,62,43,0,0,40,9.181348,9.0
10.45672,0.4874461,74,66,0,0,41,9.990642,10.0
10.500791,0.44738203,62,43,0,0,42,9.990642,10.0
