idx,matchtype,partid,ppartid
0,0,n16,8
1,0,n17,7
2,0,n5,0
3,0,n6,2
4,0,n7,4
5,0,n18,6
6,0,n1,1
7,0,n2,3
8,0,n3,5
9,0,n12,9
10,0,n15,11
11,0,n14,10
12,0,n23,14
13,0,n24,15
14,0,n25,13
15,0,n19,12
16,0,n20,16
17,0,n22,18
18,0,n21,17
19,0,n36,25
20,0,n37,28
21,0,n31,23
22,0,n32,26
23,0,n26,19
24,0,n27,27
25,0,n38,30
26,0,n33,29
27,0,n28,31
28,0,n39,33
29,0,n40,34
30,0,n34,32
31,0,n35,36
32,0,n29,35
33,0,n30,37
34,0,n51,42
35,0,n54,39
36,0,n55,38
37,0,n56,40
38,0,n41,41
39,0,n57,43
40,0,n58,45
41,0,n48,46
42,0,n42,44
43,0,n43,47
44,0,n49,49
45,0,n50,50
46,0,n44,48
47,0,n45,51
48,0,n69,52
49,0,n70,55
50,0,n65,54
51,0,n61,53
52,0,n66,56
53,0,n62,57
54,0,n67,58
55,0,n68,60
56,0,n63,59
57,0,n64,61
58,0,n79,64
59,0,n80,65
60,0,n75,62
61,0,n71,63
62,0,n76,67
63,0,n72,66
64,0,n81,72
65,0,n82,76
66,0,n77,73
67,0,n78,75
68,0,n73,68
69,0,n74,77
70,0,n86,80
71,0,n87,81
72,0,n88,79
73,0,n83,78
74,0,n89,85
75,0,n90,84
76,0,n91,82
77,0,n84,83
78,0,n92,88
79,0,n93,89
80,0,n94,87
81,0,n85,86
82,0,n100,93
83,0,n101,90
84,0,n95,91
85,0,n96,92
86,0,n102,94
87,0,n97,95
88,0,n103,97
89,0,n104,98
90,0,n98,96
91,0,n99,99
92,0,n115,101
93,0,n116,103
94,0,n112,100
95,1,n110,undefined
96,0,n111,102
97,0,n105,104
98,0,n113,106
99,2,undefined,107
100,0,n106,105
101,0,n107,110
102,0,n123,108
103,0,n124,109
104,0,n120,111
105,0,n117,112
106,0,n121,113
107,0,n118,114
108,0,n122,115
109,0,n119,116
110,0,n138,129
111,0,n134,119
112,0,n130,117
113,0,n125,118
114,0,n135,122
115,0,n131,121
116,0,n126,120
117,0,n127,123
118,0,n136,125
119,0,n137,128
120,0,n133,127
121,0,n132,124
122,0,n129,130
123,0,n128,126
124,0,n144,132
125,0,n145,133
126,0,n142,131
127,0,n139,134
128,0,n140,135
129,0,n146,139
130,0,n147,137
131,0,n143,136
132,0,n141,138
133,0,n160,145
134,0,n161,144
135,0,n150,140
136,0,n151,141
137,0,n152,143
138,0,n154,146
139,0,n153,142
140,0,n155,147
141,0,n162,150
142,0,n163,149
143,0,n158,153
144,0,n156,148
145,0,n159,152
146,0,n157,151
147,0,n172,159
148,0,n173,156
149,0,n164,154
150,0,n165,155
151,0,n166,157
152,0,n167,158
153,0,n174,160
154,0,n175,162
155,0,n168,161
156,0,n169,163
157,0,n191,177
158,0,n187,166
159,0,n183,164
160,0,n178,165
161,0,n188,171
162,0,n184,169
163,0,n179,168
164,0,n180,170
165,0,n189,174
166,0,n190,175
167,0,n186,176
168,0,n185,172
169,0,n182,178
170,0,n181,173
171,0,n200,181
172,0,n197,180
173,0,n195,179
174,0,n192,182
175,0,n193,183
176,0,n201,187
177,0,n199,188
178,0,n198,186
179,0,n196,184
180,0,n194,185
181,0,n214,193
182,0,n211,192
183,0,n207,189
184,0,n202,190
185,0,n208,194
186,0,n203,191
187,0,n204,195
188,0,n215,196
189,0,n213,201
190,0,n212,198
191,0,n209,199
192,0,n210,200
193,0,n206,202
194,0,n205,197
195,0,n227,204
196,0,n223,205
197,0,n216,203
198,1,n220,undefined
199,0,n224,206
200,0,n217,207
201,0,n225,208
202,0,n226,211
203,0,n218,209
204,0,n219,210
205,0,n234,212
206,0,n230,215
207,0,n236,214
208,0,n237,213
209,0,n233,217
210,0,n232,216
211,0,n242,221
212,0,n238,218
213,0,n244,222
214,0,n245,220
215,0,n239,219
216,0,n241,224
217,0,n240,223
218,0,n256,229
219,0,n257,233
220,0,n251,230
221,0,n252,232
222,0,n246,225
223,0,n247,234
224,0,n258,236
225,0,n253,235
226,0,n248,237
227,0,n259,239
228,0,n260,241
229,0,n254,238
230,0,n255,242
231,0,n249,240
232,0,n250,243
233,0,n274,248
234,0,n266,245
235,0,n267,244
236,0,n268,246
237,0,n261,247
238,0,n269,249
239,0,n270,251
240,0,n271,253
241,0,n262,250
242,0,n263,252
243,0,n272,255
244,0,n273,256
245,0,n264,254
246,0,n265,257
247,0,n286,258
248,0,n287,262
249,0,n282,259
250,0,n278,260
251,0,n283,261
252,0,n279,263
253,0,n284,265
254,0,n285,266
255,0,n280,264
256,0,n281,267
257,0,n296,268
258,0,n297,269
259,0,n292,270
260,0,n288,271
261,0,n293,272
262,0,n289,273
263,0,n298,278
264,0,n299,281
265,0,n294,279
266,0,n295,282
267,0,n290,274
268,0,n291,283
269,0,n303,286
270,0,n304,287
271,0,n305,285
272,0,n300,284
273,0,n306,290
274,0,n307,291
275,0,n308,288
276,0,n301,289
277,0,n309,293
278,0,n310,294
279,0,n311,295
280,0,n302,292
281,0,n324,304
282,0,n316,297
283,0,n317,296
284,0,n312,298
285,0,n318,300
286,0,n319,299
287,0,n313,301
288,0,n320,303
289,0,n322,306
290,0,n323,307
291,0,n321,302
292,0,n315,308
293,0,n314,305
294,0,n328,311
295,0,n329,312
296,0,n330,310
297,0,n325,309
298,0,n331,315
299,0,n332,316
300,0,n333,313
301,0,n326,314
302,0,n334,318
303,0,n335,319
304,0,n336,320
305,0,n327,317
306,0,n343,324
307,0,n344,323
308,0,n345,322
309,0,n337,321
310,0,n338,325
311,0,n346,329
312,0,n347,327
313,0,n348,328
314,0,n339,330
315,0,n349,333
316,0,n352,335
317,0,n350,332
318,0,n351,331
319,0,n353,336
320,0,n341,338
321,0,n342,337
322,0,n340,334
323,0,n360,341
