xml_id	midi_id	track	channel	pitch	onset
n26	6	0	0	46	1.479699375
n5	1	0	0	50	0.5261746875000001
n6	4	0	0	53	1.08306515625
n1	0	0	0	58	0.5341875
n20	8	0	0	58	1.46367375
n3	3	0	0	60	1.0763878125
n8	7	0	0	62	1.48637671875
n21	11	0	0	62	2.0325834375
n10	10	0	0	65	2.02323515625
n2	2	0	0	70	0.5168264062500001
n4	5	0	0	72	1.03765921875
n9	9	0	0	74	1.4770284375
n11	12	0	0	77	2.0138868750000003
n23	18	0	0	62	2.7857878124999997
n22	14	0	0	63	2.41586296875
n14	16	0	0	65	2.77911046875
n12	13	0	0	67	2.4425723437499998
n15	17	0	0	77	2.77376859375
n13	15	0	0	79	2.4225403125
n25	22	0	0	53	3.5256374999999998
n24	19	0	0	58	3.1543771874999993
n18	23	0	0	58	3.5443340625
n16	20	0	0	62	3.1543771874999993
n19	24	0	0	70	3.5336503125
n17	21	0	0	74	3.1396870312499994
n36	26	0	0	41	3.808756875
n35	deletion
n37	29	0	0	51	4.280177343749999
n38	30	0	0	53	4.2788418749999995
n28	28	0	0	57	4.322912343749999
n29	27	0	0	60	4.324247812499999
n30	25	0	0	65	4.305551249999999
n39	32	0	0	50	7.3611037500000025
n40	35	0	0	53	7.986103125000003
n31	31	0	0	58	7.369116562500002
n33	34	0	0	60	7.952716406250003
n32	33	0	0	70	7.358432812500003
n34	36	0	0	72	7.956722812500003
n61	37	0	0	46	8.413453125000004
n55	39	0	0	58	8.392085625000004
n43	38	0	0	62	8.417459531250003
n56	42	0	0	62	8.939627812500005
n45	41	0	0	65	8.942298750000004
n44	40	0	0	74	8.406775781250003
n46	43	0	0	77	8.924937656250005
n58	49	0	0	62	9.687490312500005
n57	45	0	0	63	9.345610312500003
n49	47	0	0	65	9.688825781250005
n47	44	0	0	67	9.353623125000004
n50	48	0	0	77	9.676806562500005
n48	46	0	0	79	9.325578281250003
n60	55	0	0	53	10.419327187500002
n59	50	0	0	58	10.050737812500003
n53	54	0	0	58	10.424669062500001
n51	51	0	0	62	10.081453593750004
n54	56	0	0	70	10.416656250000003
n52	53	0	0	74	10.037383125000003
n71	60	0	0	41	10.6917628125
n70	deletion
n72	61	0	0	51	11.096409843750001
n73	62	0	0	53	11.083055156250001
n63	59	0	0	57	11.125790156250002
n64	58	0	0	60	11.133802968750002
n65	57	0	0	65	11.119112812500001
n74	64	0	0	50	13.687219218750007
n75	67	0	0	53	14.250787031250011
n66	63	0	0	58	13.691225625000007
n68	66	0	0	60	14.240103281250011
n67	65	0	0	70	13.675200000000007
n69	68	0	0	72	14.218735781250011
n93	69	0	0	46	14.72087203125001
n87	71	0	0	58	14.727549375000011
n81	70	0	0	62	14.762271562500013
n88	73	0	0	62	15.463392656250017
n82	72	0	0	65	15.434012343750016
n78	77	0	0	74	14.743575000000012
n90	76	0	0	62	16.22460984375002
n85	82	0	0	62	16.53844500000002
n89	75	0	0	63	15.870710625000017
n84	81	0	0	65	16.23930000000002
n83	74	0	0	67	15.874717031250016
n92	79	0	0	53	16.90569890625002
n91	78	0	0	58	16.56248343750002
n86	80	0	0	58	16.91371171875002
n80	83	0	0	70	17.04458765625002
n112	85	0	0	48	17.35041000000002
n106	86	0	0	57	17.342397187500023
n107	87	0	0	60	17.93534531250002
n100	84	0	0	65	17.43721546875002
n101	88	0	0	69	17.940687187500018
n95	90	0	0	77	17.41851890625002
n109	93	0	0	60	18.61776984375002
n108	89	0	0	62	18.291915468750016
n103	92	0	0	69	18.620440781250018
n102	91	0	0	70	18.303934687500018
n97	94	0	0	76	18.748645781250016
n111	99	0	0	53	19.254788437500014
n110	95	0	0	57	18.876850781250017
n105	98	0	0	60	19.262801250000013
n104	96	0	0	65	18.908902031250015
n99	100	0	0	72	19.41103828125001
n98	97	0	0	74	18.906231093750016
n125	102	0	0	36	19.56862359375001
n126	103	0	0	51	19.859755781250012
n127	104	0	0	52	20.494103437500016
n118	101	0	0	58	19.86242671875001
n119	105	0	0	60	20.468729531250016
n114	108	0	0	72	19.83972375000001
n129	111	0	0	58	21.251314218750018
n128	107	0	0	60	20.892073125000017
n121	109	0	0	67	21.26466890625002
n120	106	0	0	69	20.900085937500016
n115	110	0	0	70	21.251314218750018
n132	117	0	0	49	22.247573906250018
n131	114	0	0	52	21.984486562500017
n130	112	0	0	55	21.58518140625002
n124	116	0	0	58	22.24490296875002
n123	115	0	0	60	21.961783593750017
n122	118	0	0	64	21.662638593750017
n117	119	0	0	67	22.10467875000002
n116	113	0	0	69	21.63459375000002
n144	129	0	0	41	22.717658906250023
n140	120	0	0	47	22.676259375000022
n141	122	0	0	48	23.219795156250026
n142	124	0	0	50	23.56568156250003
n136	121	0	0	56	22.755052031250024
n137	123	0	0	57	23.223801562500025
n138	125	0	0	58	23.549655937500027
n135	127	0	0	65	22.737690937500023
n143	126	0	0	48	24.082507968750033
n139	128	0	0	57	24.054463125000034
n147	136	0	0	46	26.467655156250036
n148	deletion
n157	deletion
n158	131	0	0	50	25.508788593750037
n151	deletion
n152	138	0	0	58	26.463648750000036
n156	149	0	0	58	28.04484375000004
n166	153	0	0	58	28.409426718750044
insertion	161	0	0	58	31.463643750000056
n150	132	0	0	70	25.532827031250036
n154	146	0	0	65	27.69495093750004
n153	143	0	0	67	27.35440640625004
n159	deletion
n160	deletion
n161	deletion
n155	157	0	0	60	29.095857656250047
n171	deletion
n172	159	0	0	51	29.066477343750048
n165	deletion
n164	154	0	0	70	28.396072031250043
