onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.51415545,0.3806086,31,49,0,0,0,0.514155,0.0
0.9228089,0.04540594,55,51,0,0,1,0.514155,0.0
0.99358875,0.05341875,57,53,0,0,2,0.922809,1.0
1.0657041,0.078792654,55,64,0,0,3,0.922809,1.0
1.1244646,0.10416656,50,53,0,0,4,0.922809,1.0
1.2126056,0.036057655,62,67,0,0,5,0.922809,1.0
1.4796994,0.038728595,55,59,0,0,6,1.212606,2.0
1.475693,0.044070467,34,48,0,0,7,1.212606,2.0
1.5624985,0.37126032,54,63,0,0,8,1.212606,2.0
1.5745176,0.3592411,33,51,0,0,9,1.212606,2.0
1.5785241,0.35523468,48,57,0,0,10,1.574518,3.0
1.96581,0.049412344,60,69,0,0,11,1.96581,4.0
2.0499446,0.05208328,62,70,0,0,12,1.96581,4.0
2.116718,0.038728595,60,65,0,0,13,1.96581,4.0
2.1821558,0.09615375,57,71,0,0,14,1.96581,4.0
2.267626,0.03205125,69,71,0,0,15,2.267626,5.0
2.5400615,0.036057655,60,47,0,0,16,2.267626,5.0
2.5227005,0.05475422,30,58,0,0,17,2.267626,5.0
2.6001577,0.057425156,50,34,0,0,18,2.267626,5.0
2.626867,0.38728595,31,62,0,0,19,2.617519,6.0
2.6175187,0.39663422,58,80,0,0,20,2.267626,5.0
2.9874437,0.0641025,55,71,0,0,21,2.617519,6.0
3.0622299,0.07345078,57,75,0,0,22,2.987444,7.0
3.134345,0.07211531,55,67,0,0,23,2.987444,7.0
3.202454,0.044070467,50,72,0,0,24,2.987444,7.0
3.307956,0.029380312,67,81,0,0,25,3.307956,8.0
3.3400073,0.04540594,65,35,0,0,26,3.307956,8.0
3.524302,0.034722187,65,72,0,0,27,3.307956,8.0
3.5376568,0.040064063,55,64,0,0,28,3.307956,8.0
3.5336504,0.05208328,34,62,0,0,29,3.307956,8.0
3.6244621,0.037393127,36,73,0,0,30,3.307956,8.0
3.6284685,0.044070467,63,85,0,0,31,3.307956,8.0
3.6538424,0.040064063,55,51,0,0,32,3.628469,9.0
3.866182,0.04139953,62,77,0,0,33,3.628469,9.0
3.8675175,0.05074781,38,63,0,0,34,3.628469,9.0
3.8768659,0.046741407,55,56,0,0,35,3.628469,9.0
3.9676776,0.029380312,39,70,0,0,36,3.628469,9.0
3.9703486,0.03205125,55,58,0,0,37,3.967678,10.0
3.9556584,0.06276703,60,84,0,0,38,3.628469,9.0
4.1920366,0.03338672,58,67,0,0,39,3.967678,10.0
4.1920366,0.036057655,55,63,0,0,40,3.967678,10.0
4.293532,0.034722187,51,54,0,0,41,4.293532,11.0
4.285519,0.044070467,61,75,0,0,42,3.967678,10.0
4.3068867,0.034722187,57,57,0,0,43,4.293532,11.0
4.5218973,0.038728595,55,60,0,0,44,4.293532,11.0
4.620722,0.43269187,54,56,0,0,45,4.293532,11.0
4.620722,0.43269187,62,68,0,0,46,4.293532,11.0
4.63007,0.4233436,38,50,0,0,47,4.625396,12.0
4.6514378,0.4019761,50,14,0,0,48,4.625396,12.0
5.02804,0.39396328,74,73,0,0,49,5.02804,13.0
5.4460416,0.31917703,30,37,0,0,50,5.02804,13.0
5.447377,0.31784156,62,62,0,0,51,5.4467096,14.0
5.703787,0.116185784,72,63,0,0,52,5.4467096,14.0
5.8132954,0.4180017,31,55,0,0,53,5.4467096,14.0
5.8226438,0.40865344,70,59,0,0,54,5.8179693,15.0
6.0817246,0.1495725,69,61,0,0,55,5.8179693,15.0
6.2005816,0.11485031,67,68,0,0,56,6.200581,16.0
6.4423013,0.065437965,65,63,0,0,57,6.200581,16.0
6.521094,0.038728595,63,66,0,0,58,6.521094,17.0
6.193904,0.5635678,55,69,0,0,59,5.8179693,15.0
6.2005816,0.5608969,70,74,0,0,60,6.200581,16.0
6.765485,0.04139953,62,70,0,0,61,6.521094,17.0
6.7534657,0.07745719,53,70,0,0,62,6.521094,17.0
6.8255806,0.03338672,51,78,0,0,63,6.521094,17.0
6.840271,0.03205125,60,68,0,0,64,6.832926,18.0
7.080655,0.044070467,50,76,0,0,65,6.832926,18.0
7.1474285,0.028044844,48,81,0,0,66,6.832926,18.0
7.395826,0.046741407,46,69,0,0,67,7.157445,19.0
7.167461,0.5248392,77,85,0,0,68,7.157445,19.0
7.4853024,0.31517062,65,87,0,0,69,7.4839664,20.0
7.482631,0.32585436,33,84,0,0,70,7.157445,19.0
7.8124924,0.040064063,34,80,0,0,71,7.4839664,20.0
7.7256866,0.13888875,75,73,0,0,72,7.4839664,20.0
7.8418727,0.35122827,74,91,0,0,73,7.8271823,21.0
8.091605,0.10149562,72,82,0,0,74,7.8271823,21.0
8.214468,0.12286312,70,85,0,0,75,8.206455,22.0
8.440163,0.060096093,69,69,0,0,76,8.206455,22.0
8.513614,0.036057655,67,81,0,0,77,8.513613,23.0
8.206455,0.5635678,58,93,0,0,78,8.206455,22.0
8.206455,0.57158065,74,97,0,0,79,8.206455,22.0
8.743314,0.048076876,65,73,0,0,80,8.513613,23.0
8.735301,0.07211531,57,74,0,0,81,8.513613,23.0
8.80341,0.048076876,64,84,0,0,82,8.513613,23.0
8.81543,0.05208328,55,85,0,0,83,8.80942,24.0
9.079852,0.046741407,53,81,0,0,84,8.80942,24.0
9.127929,0.029380312,52,87,0,0,85,8.80942,24.0
9.369649,0.044070467,50,77,0,0,86,9.1306,25.0
9.133271,0.299145,81,94,0,0,87,9.1306,25.0
9.476486,0.2897967,37,85,0,0,88,9.470476,26.0
9.464467,0.3378736,69,85,0,0,89,9.1306,25.0
9.731561,0.11752125,79,86,0,0,90,9.470476,26.0
9.821037,0.0641025,78,93,0,0,91,9.470476,26.0
9.823709,0.46741405,38,90,0,0,92,9.822372,27.0
10.124188,0.1669336,75,67,0,0,93,9.822372,27.0
10.233697,0.19764937,74,87,0,0,94,10.233697,28.0
10.232362,0.26575828,78,87,0,0,95,9.822372,27.0
10.502127,0.4313564,72,70,0,0,96,10.233697,28.0
10.579583,0.3538992,79,80,0,0,97,10.233697,28.0
10.584926,0.34855735,70,76,0,0,98,10.582254,29.0
10.233697,0.69978565,62,93,0,0,99,10.233697,28.0
10.826645,0.1068375,69,70,0,0,100,10.582254,29.0
10.841335,0.09214734,60,70,0,0,101,10.582254,29.0
10.91078,0.026709376,58,82,0,0,102,10.582254,29.0
10.918793,0.034722187,67,70,0,0,103,10.914786,30.0
11.169861,0.060096093,57,78,0,0,104,10.914786,30.0
11.237969,0.03205125,55,75,0,0,105,10.914786,30.0
11.493044,0.042735,53,75,0,0,106,11.23797,31.0
11.563824,0.03071578,52,74,0,0,107,11.559818,32.0
11.237969,0.36458296,70,77,0,0,108,10.914786,30.0
11.554476,0.15624985,69,67,0,0,109,11.23797,31.0
11.792189,0.07211531,67,58,0,0,110,11.559818,32.0
11.559817,0.31383514,73,74,0,0,111,11.23797,31.0
11.834924,0.042735,51,42,0,0,112,11.559818,32.0
11.873652,0.046741407,50,71,0,0,113,11.872317,33.0
11.860298,0.0641025,66,68,0,0,114,11.559818,32.0
11.872317,0.056089688,74,67,0,0,115,11.872317,33.0
12.12205,0.05341875,63,62,0,0,116,11.872317,33.0
12.244913,0.6677344,62,78,0,0,117,12.244913,34.0
12.242242,0.6704053,66,82,0,0,118,11.872317,33.0
12.473278,0.43936923,60,65,0,0,119,12.244913,34.0
12.558748,0.3538992,67,79,0,0,120,12.244913,34.0
12.565426,0.34722188,58,74,0,0,121,12.562086,35.0
12.244913,0.6677344,50,89,0,0,122,12.244913,34.0
12.813823,0.09882469,57,71,0,0,123,12.562086,35.0
12.823171,0.08947641,48,68,0,0,124,12.562086,35.0
12.89395,0.03071578,46,84,0,0,125,12.562086,35.0
12.916654,0.034722187,55,72,0,0,126,12.905302,36.0
13.169057,0.06944437,45,78,0,0,127,12.905302,36.0
13.229154,0.036057655,43,75,0,0,128,12.905302,36.0
13.480222,0.046741407,41,74,0,0,129,13.229821,37.0
13.561686,0.04139953,40,69,0,0,130,13.561685,38.0
13.230489,0.37927312,58,71,0,0,131,13.229821,37.0
13.561686,0.1923075,57,69,0,0,132,13.561685,38.0
13.8007345,0.036057655,39,66,0,0,133,13.561685,38.0
13.81943,0.065437965,55,57,0,0,134,13.561685,38.0
