onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.7788469,0.28311992,67,66,1,0,0,-10.0,-10.0
0.9380351,0.12393174,43,66,1,0,1,-10.0,-10.0
0.8685906,0.19337626,72,72,1,0,2,-10.0,-10.0
1.0053428,0.056623984,57,86,1,0,3,0.978633,0.0
0.9444453,0.11752148,74,78,1,0,4,-10.0,-10.0
0.9871804,0.111111216,75,92,1,0,5,0.978633,0.0
0.9700864,0.24038485,48,80,1,0,6,-10.0,-10.0
1.0897446,0.13782065,66,81,1,0,7,0.978633,0.0
1.2393174,0.05876074,43,68,1,0,8,0.978633,0.0
1.2072661,0.106837705,72,67,1,0,9,0.978633,0.0
1.2905995,0.04059833,50,65,1,0,10,0.978633,0.0
1.2713687,0.09508556,75,73,1,0,11,0.978633,0.0
1.3311979,0.041666705,59,98,1,0,12,1.3066255,1.0
1.3226508,0.067307755,74,83,1,0,13,1.3066255,1.0
1.3611124,0.06837613,51,40,1,0,14,1.3066255,1.0
1.4049158,0.06410263,48,33,1,0,15,1.3066255,1.0
1.4155996,0.07799153,65,72,1,0,16,1.3066255,1.0
1.4743603,0.10576933,71,69,1,0,17,1.3066255,1.0
1.5608989,0.047008593,74,77,1,0,18,1.3066255,1.0
1.5395314,0.082265034,43,69,1,0,19,1.3066255,1.0
1.6559845,0.032051314,60,101,1,0,20,1.3066255,1.0
1.6004288,0.39102602,51,65,1,0,21,1.3066255,1.0
1.682694,0.30876097,72,91,1,0,22,1.682694,2.0
1.7735059,0.21794893,69,76,1,0,23,1.682694,2.0
1.8579078,0.13354714,66,82,1,0,24,1.682694,2.0
1.9166685,0.074786395,63,72,1,0,25,1.682694,2.0
1.9754292,0.028846182,60,75,1,0,26,1.975429,3.0
2.0384636,0.056623984,57,61,1,0,27,1.975429,3.0
2.0940192,0.24465835,54,63,1,0,28,1.975429,3.0
2.1217968,0.21688055,51,57,1,0,29,1.975429,3.0
2.2019253,0.13675226,67,66,1,0,30,1.975429,3.0
2.2927372,0.045940213,43,66,1,0,31,1.975429,3.0
2.2574809,0.086538546,72,66,1,0,32,1.975429,3.0
2.35684,0.028846182,57,93,1,0,33,2.341348,4.0
2.3440194,0.053418852,48,76,1,0,34,2.341348,4.0
2.3386774,0.086538546,75,84,1,0,35,1.975429,3.0
