xml_id	midi_id	track	channel	pitch	onset
P00_n2	1	0	0	27	2.0982885000000007
P00_n4	5	0	0	27	2.508544500000001
P00_n8	10	0	0	27	2.777775000000002
P00_n11	16	0	0	27	3.0555525000000032
P00_n6	deletion
P00_n3	3	0	0	33	2.416664250000001
P00_n5	8	0	0	33	2.612176875000001
P00_n7	deletion
P00_n9	13	0	0	33	2.925210750000003
P00_n1	0	0	0	40	2.1463653750000007
P00_n13	21	0	0	27	3.3643128750000026
P00_n12	19	0	0	33	3.215808750000003
P00_n14	deletion
P00_n10	14	0	0	40	3.034185000000003
P00_n17	26	0	0	27	3.6794835000000035
P00_n26	30	0	0	27	3.920936250000003
P00_n15	deletion
P00_n16	25	0	0	33	3.519227250000003
P00_n18	28	0	0	33	3.8162355000000034
P00_n27	37	0	0	33	4.017090000000003
P00_n29	40	0	0	33	4.279910250000005
P00_n20	31	0	0	40	4.012816500000003
P00_n28	39	0	0	40	4.128201000000004
P00_n25	41	0	0	40	4.602559500000005
insertion	43	0	0	40	4.819439625000007
P00_n21	33	0	0	45	4.066235250000004
P00_n22	34	0	0	47	4.058756625000004
P00_n23	35	0	0	49	4.059825000000004
P00_n24	36	0	0	51	4.110038625000004
P00_n30	45	0	0	27	4.479696375000005
P00_n32	47	0	0	27	4.908114750000007
P00_n31	44	0	0	33	4.7371747500000065
P00_n33	51	0	0	33	5.043798375000007
P00_n35	53	0	0	27	5.2061913750000075
P00_n37	59	0	0	27	5.521362000000009
P00_n36	57	0	0	33	5.364310875000008
P00_n38	62	0	0	33	5.65277212500001
P00_n34	50	0	0	40	5.162388000000007
P00_n39	65	0	0	27	5.818370250000011
P00_n41	70	0	0	27	6.105763125000012
P00_n40	68	0	0	33	5.963669250000011
P00_n42	72	0	0	33	6.233968125000012
P00_n50	75	0	0	27	6.320506500000012
P00_n51	81	0	0	33	6.429480750000013
P00_n53	83	0	0	33	6.628198500000014
P00_n44	74	0	0	40	6.391019250000013
P00_n52	82	0	0	40	6.491446500000014
P00_n49	84	0	0	40	6.839736750000015
insertion	88	0	0	40	7.028839125000017
P00_n45	77	0	0	45	6.424138875000013
P00_n46	76	0	0	47	6.426275625000013
P00_n47	79	0	0	49	6.439096125000013
P00_n48	80	0	0	51	6.467942250000013
P00_n54	85	0	0	27	6.773497500000015
P00_n56	90	0	0	27	7.090804875000018
P00_n59	deletion
P00_n55	87	0	0	33	6.944437500000016
P00_n57	93	0	0	33	7.231830375000018
P00_n61	95	0	0	27	7.384608000000019
