idx,matchtype,partid,ppartid
0,0,P00_n2,1
1,0,P00_n4,5
2,0,P00_n8,10
3,0,P00_n11,16
4,1,P00_n6,undefined
5,0,P00_n3,3
6,0,P00_n5,8
7,1,P00_n7,undefined
8,0,P00_n9,13
9,0,P00_n1,0
10,0,P00_n13,21
11,0,P00_n12,19
12,1,P00_n14,undefined
13,0,P00_n10,14
14,0,P00_n17,26
15,0,P00_n26,30
16,1,P00_n15,undefined
17,0,P00_n16,25
18,0,P00_n18,28
19,0,P00_n27,37
20,0,P00_n29,40
21,0,P00_n20,31
22,0,P00_n28,39
23,0,P00_n25,41
24,2,undefined,43
25,0,P00_n21,33
26,0,P00_n22,34
27,0,P00_n23,35
28,0,P00_n24,36
29,0,P00_n30,45
30,0,P00_n32,47
31,0,P00_n31,44
32,0,P00_n33,51
33,0,P00_n35,53
34,0,P00_n37,59
35,0,P00_n36,57
36,0,P00_n38,62
37,0,P00_n34,50
38,0,P00_n39,65
39,0,P00_n41,70
40,0,P00_n40,68
41,0,P00_n42,72
42,0,P00_n50,75
43,0,P00_n51,81
44,0,P00_n53,83
45,0,P00_n44,74
46,0,P00_n52,82
47,0,P00_n49,84
48,2,undefined,88
49,0,P00_n45,77
50,0,P00_n46,76
51,0,P00_n47,79
52,0,P00_n48,80
53,0,P00_n54,85
54,0,P00_n56,90
55,1,P00_n59,undefined
56,0,P00_n55,87
57,0,P00_n57,93
58,0,P00_n61,95
59,0,P00_n62,98
60,1,P00_n60,undefined
61,0,P00_n58,91
62,0,P00_n63,100
63,0,P00_n65,106
64,0,P00_n64,103
65,0,P00_n66,108
66,0,P00_n79,112
67,0,P00_n81,115
68,0,P00_n80,114
69,1,P00_n82,undefined
70,0,P00_n68,109
71,1,P00_n69,undefined
72,1,P00_n70,undefined
73,1,P00_n71,undefined
74,0,P00_n72,113
75,0,P00_n84,121
76,0,P00_n83,116
77,0,P00_n85,123
78,0,P00_n74,117
79,0,P00_n75,118
80,0,P00_n76,119
81,0,P00_n77,120
82,0,P00_n78,122
83,0,P00_n98,127
84,1,P00_n100,undefined
85,0,P00_n101,129
86,1,P00_n99,undefined
87,0,P00_n87,124
88,0,P00_n88,125
89,0,P00_n89,126
90,0,P00_n90,128
91,0,P00_n91,130
92,0,P00_n102,131
93,0,P00_n93,132
94,0,P00_n94,133
95,0,P00_n95,135
96,0,P00_n96,134
97,0,P00_n97,136
98,0,P00_n116,137
99,0,P00_n117,138
100,0,P00_n105,139
101,0,P00_n106,140
102,0,P00_n107,141
103,0,P00_n108,142
104,0,P00_n109,143
105,0,P00_n119,144
106,0,P00_n120,145
107,0,P00_n111,146
108,0,P00_n112,148
109,0,P00_n113,147
110,0,P00_n114,149
111,0,P00_n115,150
112,0,P00_n134,151
113,0,P00_n135,152
114,0,P00_n123,153
115,0,P00_n124,156
116,0,P00_n125,157
117,0,P00_n126,158
118,0,P00_n127,159
119,0,P00_n137,160
120,0,P00_n138,161
121,0,P00_n129,162
122,0,P00_n130,163
123,0,P00_n131,164
124,0,P00_n132,166
125,0,P00_n133,167
126,0,P00_n152,168
127,0,P00_n153,169
128,0,P00_n141,170
129,0,P00_n142,172
130,0,P00_n147,178
131,0,P00_n143,171
132,0,P00_n144,174
133,0,P00_n148,179
134,0,P00_n145,175
135,0,P00_n155,177
136,0,P00_n156,176
137,0,P00_n149,184
138,0,P00_n150,180
139,0,P00_n151,183
140,0,P00_n163,186
141,0,P00_n164,187
142,0,P00_n165,188
143,0,P00_n161,189
144,0,P00_n175,191
145,0,P00_n176,194
146,0,P00_n177,192
147,0,P00_n173,190
148,0,P00_n169,193
149,0,P00_n170,195
150,0,P00_n172,196
151,0,P00_n184,197
152,0,P00_n185,199
153,0,P00_n186,198
154,0,P00_n182,200
155,0,P00_n196,201
156,0,P00_n197,203
157,0,P00_n198,202
158,0,P00_n194,204
159,0,P00_n190,205
160,0,P00_n191,206
161,0,P00_n193,207
