onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.1463654,0.606837,40,93,0,0,0,2.122327,0.0
2.0982885,0.6549139,27,75,0,0,1,-10.0,-10.0
2.3600404,0.393162,42,49,0,0,2,2.122327,0.0
2.4166644,0.33653814,33,19,0,0,3,2.122327,0.0
2.461536,0.2916664,40,42,0,0,4,2.122327,0.0
2.5085444,0.24465787,27,43,0,0,5,2.122327,0.0
2.560895,0.1923075,42,49,0,0,6,2.122327,0.0
2.652775,0.10042725,40,53,0,0,7,2.650885,1.0
2.612177,0.1410255,33,46,0,0,8,2.122327,0.0
2.7478604,1.8365366,42,49,0,0,9,2.650885,1.0
2.777775,1.8066221,27,48,0,0,10,2.650885,1.0
2.86645,1.717947,40,41,0,0,11,2.650885,1.0
2.94551,1.6388873,42,47,0,0,12,2.650885,1.0
2.9252107,1.6591864,33,46,0,0,13,2.650885,1.0
3.034185,1.5502121,40,42,0,0,14,2.650885,1.0
3.131407,1.45299,42,47,0,0,15,3.044869,2.0
3.0555525,1.5288446,27,46,0,0,16,3.044869,2.0
3.219014,1.3653833,40,46,0,0,17,3.044869,2.0
3.313031,1.2713662,42,51,0,0,18,3.044869,2.0
3.2158089,1.3685883,33,49,0,0,19,3.044869,2.0
3.4209368,1.1634604,40,42,0,0,20,3.044869,2.0
3.364313,1.2200843,27,55,0,0,21,3.044869,2.0
3.4935863,1.0908109,42,53,0,0,22,3.044869,2.0
3.5972185,0.9871785,40,45,0,0,23,3.514789,3.0
3.6570475,0.9273495,42,59,0,0,24,3.514789,3.0
3.5192273,1.0651699,33,54,0,0,25,3.514789,3.0
3.6794834,0.9049136,27,70,0,0,26,3.514789,3.0
3.811962,0.7724351,42,67,0,0,27,3.514789,3.0
3.8162355,0.76816165,33,59,0,0,28,3.514789,3.0
3.7735004,0.81089664,40,40,0,0,29,3.514789,3.0
3.9209363,0.66346085,27,77,0,0,30,3.920936,4.0
4.0128164,0.57158065,40,80,0,0,31,3.920936,4.0
4.0331154,0.5512815,28,43,0,0,32,3.920936,4.0
4.066235,0.5181619,45,69,0,0,33,3.920936,4.0
4.058757,0.5256405,47,73,0,0,34,3.920936,4.0
4.059825,0.52457213,49,67,0,0,35,3.920936,4.0
4.1100388,0.4743585,51,99,0,0,36,3.920936,4.0
4.01709,0.5673071,33,77,0,0,37,3.920936,4.0
4.094013,0.49038413,31,6,0,0,38,3.920936,4.0
4.128201,0.45619613,40,81,0,0,39,3.920936,4.0
4.27991,0.30448687,33,77,0,0,40,3.920936,4.0
4.6025596,0.068376,40,41,0,0,41,3.920936,4.0
4.7158074,2.0758526,42,39,0,0,42,4.609463,5.0
4.8194394,1.9722203,40,47,0,0,43,4.609463,5.0
4.737175,2.054485,33,50,0,0,44,4.609463,5.0
4.4796963,2.3119636,27,62,0,0,45,3.920936,4.0
4.892089,1.8995707,42,54,0,0,46,4.609463,5.0
4.908115,1.8835452,27,21,0,0,47,4.609463,5.0
4.988243,1.803417,40,53,0,0,48,4.609463,5.0
5.0576873,1.7339727,42,56,0,0,49,4.609463,5.0
5.162388,1.6292719,40,53,0,0,50,4.609463,5.0
5.0437984,1.7478615,33,54,0,0,51,4.609463,5.0
5.230764,1.5608959,42,58,0,0,52,5.18429,6.0
5.2061915,1.5854685,27,62,0,0,53,5.18429,6.0
5.324781,1.4668789,40,61,0,0,54,5.18429,6.0
5.3771315,1.4145285,42,69,0,0,55,5.18429,6.0
5.4775586,1.3141012,40,63,0,0,56,5.18429,6.0
5.3643107,1.427349,33,56,0,0,57,5.18429,6.0
5.560892,1.230768,42,56,0,0,58,5.18429,6.0
5.521362,1.2702979,27,68,0,0,59,5.18429,6.0
5.646362,1.145298,40,59,0,0,60,5.18429,6.0
5.694439,1.0972211,42,72,0,0,61,5.18429,6.0
5.652772,1.1388878,33,52,0,0,62,5.18429,6.0
5.803413,0.98824686,40,58,0,0,63,5.18429,6.0
5.883541,0.9081187,42,60,0,0,64,5.81837,7.0
5.8183703,0.9732896,27,75,0,0,65,5.81837,7.0
5.974353,0.8173069,40,60,0,0,66,5.81837,7.0
6.025635,0.7660249,42,67,0,0,67,5.81837,7.0
5.9636693,0.82799065,33,76,0,0,68,5.81837,7.0
6.1068316,0.6848284,40,70,0,0,69,5.81837,7.0
6.105763,0.68589675,27,80,0,0,70,5.81837,7.0
6.167729,0.623931,42,68,0,0,71,5.81837,7.0
6.2339683,0.55769175,33,81,0,0,72,5.81837,7.0
6.362173,0.42948675,26,61,0,0,73,6.320507,8.0
6.3910193,0.40064064,40,77,0,0,74,6.320507,8.0
