xml_id	midi_id	track	channel	pitch	onset
P00_n2	1	1	0	27	2.0502076270833327
P00_n4	6	1	0	27	2.3279845854166665
P00_n6	10	1	0	27	2.5544796437499997
P00_n8	15	1	0	27	2.745718395833333
P00_n3	3	1	0	33	2.2019165812499994
P00_n5	8	1	0	33	2.4049074354166664
P00_n7	deletion
P00_n9	deletion
P00_n1	4	1	0	40	2.242514752083333
P00_n11	18	1	0	27	3.0192218624999994
P00_n13	22	1	0	27	3.346143974999999
P00_n12	20	1	0	33	3.1805461729166655
P00_n14	24	1	0	33	3.5266989979166654
P00_n16	27	1	0	33	3.7670829041666654
P00_n10	17	1	0	40	3.052341422916666
P00_n15	26	1	0	27	3.5908013729166655
P00_n17	30	1	0	27	3.8685783312499984
P00_n18	31	1	0	33	4.005330064583332
P00_n26	34	1	0	27	4.117509220833332
P00_n27	40	1	0	33	4.389944314583332
P00_n29	42	1	0	33	4.709387816666665
P00_n20	35	1	0	40	4.257466072916665
P00_n28	43	1	0	40	4.763874835416664
P00_n25	46	1	0	40	4.9433614854166645
P00_n34	49	1	0	40	5.1378053562499995
insertion	32	1	0	40	3.8408006354166653
insertion	53	1	0	40	5.325838989583332
P00_n21	36	1	0	45	4.278833531249998
P00_n22	37	1	0	47	4.284175395833332
P00_n23	38	1	0	49	4.291654006249998
P00_n24	39	1	0	51	4.289517260416665
P00_n30	41	1	0	27	4.510670454166665
P00_n32	48	1	0	27	5.054472268749999
P00_n31	45	1	0	33	4.960455452083331
P00_n33	50	1	0	33	5.130326745833333
P00_n36	54	1	0	33	5.3450697020833315
P00_n35	52	1	0	27	5.222206816666666
P00_n37	56	1	0	27	5.439086518749997
P00_n38	59	1	0	33	5.545923810416664
P00_n40	65	1	0	33	5.811948666666662
P00_n39	62	1	0	27	5.677333679166663
P00_n41	66	1	0	27	5.964725993749996
P00_n42	68	1	0	33	6.084383760416663
P00_n50	70	1	0	27	6.1698535937499965
P00_n51	71	1	0	33	6.269212274999996
P00_n53	79	1	0	33	6.748911714583328
insertion	77	1	0	33	6.495707333333328
insertion	83	1	0	33	6.914509516666661
P00_n44	72	1	0	40	6.366434210416662
P00_n52	80	1	0	40	6.790578258333327
P00_n49	84	1	0	40	6.956176060416662
insertion	69	1	0	40	5.947632027083329
insertion	88	1	0	40	7.104679895833328
P00_n45	73	1	0	45	6.3813914312499955
P00_n46	74	1	0	47	6.3835281770833285
P00_n47	75	1	0	49	6.398485397916661
P00_n48	76	1	0	51	6.3856649229166615
P00_n54	85	1	0	27	6.986090502083329
P00_n56	89	1	0	27	7.16557715208333
P00_n59	94	1	0	27	7.338653564583328
P00_n61	98	1	0	27	7.539507672916662
P00_n63	102	1	0	27	7.6805328979166605
P00_n65	105	1	0	27	7.8610879208333255
P00_n79	deletion
P00_n55	87	1	0	33	7.101474777083328
P00_n57	92	1	0	33	7.268140952083329
P00_n62	100	1	0	33	7.583310962499994
P00_n60	96	1	0	33	7.436943872916662
P00_n58	95	1	0	40	7.400619193749995
P00_n64	104	1	0	33	7.777754833333326
P00_n66	deletion
P00_n81	106	1	0	27	8.051258299999992
P00_n80	110	1	0	33	8.175189558333324
P00_n82	114	1	0	33	8.510658654166654
P00_n84	120	1	0	33	8.773478391666655
P00_n68	103	1	0	40	7.76066086666666
P00_n83	107	1	0	40	8.09612996249999
P00_n69	108	1	0	45	8.12177091249999
P00_n70	109	1	0	47	8.159163964583325
P00_n71	111	1	0	49	8.167710947916657
P00_n72	112	1	0	51	8.16664257499999
P00_n85	117	1	0	40	8.612154081249988
P00_n74	113	1	0	45	8.615359199999988
P00_n75	115	1	0	49	8.621769437499989
P00_n76	116	1	0	52	8.649547133333321
P00_n77	118	1	0	54	8.677324829166656
P00_n78	119	1	0	56	8.682666693749988
P00_n98	121	1	0	39	8.880315683333322
P00_n100	deletion
P00_n99	122	1	0	45	8.965785516666656
P00_n101	128	1	0	45	9.246767593749992
P00_n87	123	1	0	52	9.038434874999991
